Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,YANG Jin POSITION,YANG Jin LAP TIME,YANG Jin ELAPSED TIME,Sergey PRANKEVICH POSITION,Sergey PRANKEVICH LAP TIME,Sergey PRANKEVICH ELAPSED TIME,Simon CHO POSITION,Simon CHO LAP TIME,Simon CHO ELAPSED TIME
3,6.95,6.95,1,6.85,6.85,2,6.91,6.91,4,6.97,6.97
4,9.24,16.19,2,9.16,16.01,3,9.22,16.13,1,8.87,15.84
4,35.62,51.81,2,8.67,24.68,3,8.65,24.78,1,8.64,24.48
4,17.62,1:09.43,2,8.64,33.32,3,8.64,33.42,1,8.64,33.12
4,15.44,1:24.863,2,9.05,42.362,3,9.29,42.702,1,8.96,42.076
