Tom IVESON POSITION,Tom IVESON LAP TIME,Tom IVESON ELAPSED TIME,Robert BECKER POSITION,Robert BECKER LAP TIME,Robert BECKER ELAPSED TIME,Sergey PRANKEVICH POSITION,Sergey PRANKEVICH LAP TIME,Sergey PRANKEVICH ELAPSED TIME,Travis JAYNER POSITION,Travis JAYNER LAP TIME,Travis JAYNER ELAPSED TIME,Aliaksandr ANTANENKA POSITION,Aliaksandr ANTANENKA LAP TIME,Aliaksandr ANTANENKA ELAPSED TIME,Tamas TUTRAI POSITION,Tamas TUTRAI LAP TIME,Tamas TUTRAI ELAPSED TIME
1,9.020,9.020,3,9.330,9.330,6,9.800,9.800,5,9.790,9.790,4,9.490,9.490,2,9.230,9.230
2,12.880,21.900,4,12.900,22.230,1,12.030,21.840,6,12.680,22.470,5,12.770,22.260,3,12.760,21.990
1,11.300,33.200,4,11.430,33.660,2,11.570,33.410,6,11.480,33.950,5,11.530,33.800,3,11.420,33.420
1,11.590,44.800,5,11.850,45.520,6,12.400,45.810,4,11.370,45.320,3,11.510,45.320,2,11.640,45.060
1,10.510,55.310,4,10.300,55.820,6,12.480,58.300,2,10.360,55.690,5,10.560,55.880,3,10.670,55.740
1,10.060,1:05.380,5,10.170,1:06.000,2,7.070,1:05.380,4,10.270,1:05.960,3,9.980,1:05.860,6,10.270,1:06.010
1,10.050,1:15.430,6,10.230,1:16.230,3,10.570,1:15.950,2,9.740,1:15.700,5,10.280,1:16.150,4,9.990,1:16.000
1,10.530,1:25.970,2,10.000,1:26.240,5,10.520,1:26.470,3,10.580,1:26.290,4,10.290,1:26.440,6,10.470,1:26.480
2,10.000,1:35.970,3,9.910,1:36.150,1,9.450,1:35.930,4,9.870,1:36.170,5,9.970,1:36.410,6,9.950,1:36.430
1,10.000,1:45.980,4,10.340,1:46.500,3,10.480,1:46.410,2,10.030,1:46.200,6,10.230,1:46.640,5,10.110,1:46.540
1,9.980,1:55.960,4,10.020,1:56.530,3,9.950,1:56.370,2,10.030,1:56.230,5,9.990,1:56.640,6,10.120,1:56.660
1,9.500,2:05.460,4,9.600,2:06.130,3,9.520,2:05.890,2,9.430,2:05.660,5,9.540,2:06.180,6,9.810,2:06.480
1,9.390,2:14.860,2,9.360,2:15.500,5,23.390,2:29.280,6,31.430,2:37.090,3,9.650,2:15.830,4,9.550,2:16.040
1,9.880,2:24.750,2,9.540,2:25.050,5,16.430,2:45.720,6,25.610,3:02.710,3,9.570,2:25.400,4,10.730,2:26.770
