Olesya OSKINA POSITION,Olesya OSKINA LAP TIME,Olesya OSKINA ELAPSED TIME,VOROBIOV Marina POSITION,VOROBIOV Marina LAP TIME,VOROBIOV Marina ELAPSED TIME,Evita KRIEVANE POSITION,Evita KRIEVANE LAP TIME,Evita KRIEVANE ELAPSED TIME,Hyo-Jung KIM POSITION,Hyo-Jung KIM LAP TIME,Hyo-Jung KIM ELAPSED TIME,Cimone van der WALT POSITION,Cimone van der WALT LAP TIME,Cimone van der WALT ELAPSED TIME,Ildiko SZEKELY POSITION,Ildiko SZEKELY LAP TIME,Ildiko SZEKELY ELAPSED TIME
3,9.771,9.771,5,9.909,9.909,1,9.494,9.494,6,10.067,10.067,2,9.540,9.540,4,9.820,9.820
1,11.890,21.660,3,11.785,21.693,6,12.576,22.069,4,11.649,21.716,2,12.151,21.690,5,12.129,21.949
2,11.440,33.100,3,11.474,33.167,4,11.461,33.530,5,11.816,33.531,1,11.032,32.721,6,11.652,33.600
3,12.119,45.219,5,12.200,45.366,6,12.045,45.574,2,11.537,45.068,1,12.047,44.767,4,11.681,45.280
4,12.693,57.911,5,12.701,58.067,6,12.630,58.204,2,12.676,57.744,1,12.868,57.635,3,12.508,57.788
1,12.266,1:10.176,5,12.645,1:10.711,3,12.263,1:10.467,6,13.105,1:10.848,2,12.693,1:10.328,4,12.820,1:10.607
3,12.565,1:22.741,6,12.351,1:23.062,5,12.469,1:22.936,1,11.357,1:22.205,2,12.370,1:22.697,4,12.248,1:22.854
5,11.971,1:34.712,3,11.614,1:34.676,4,11.750,1:34.685,1,12.320,1:34.525,6,12.126,1:34.823,2,11.812,1:34.666
1,11.197,1:45.909,4,11.438,1:46.113,6,11.549,1:46.234,5,11.609,1:46.133,2,11.148,1:45.970,3,11.425,1:46.091
1,11.322,1:57.231,5,11.597,1:57.710,3,11.346,1:57.579,4,11.493,1:57.625,2,11.385,1:57.354,6,11.893,1:57.984
1,10.719,2:07.949,5,10.974,2:08.684,2,10.520,2:08.099,3,10.535,2:08.159,6,12.033,2:09.386,4,10.550,2:08.534
1,10.249,2:18.198,5,11.226,2:19.910,3,10.313,2:18.411,2,10.248,2:18.407,6,11.636,2:21.022,4,11.232,2:19.766
1,10.456,2:28.654,5,11.733,2:31.642,3,10.468,2:28.879,2,10.276,2:28.682,6,12.210,2:33.231,4,10.795,2:30.560
2,10.99,2:39.638,5,12.45,2:44.085,3,10.96,2:39.834,1,10.69,2:39.364,6,12.65,2:45.881,4,12.02,2:42.573
