Thomas Insuk HONG POSITION,Thomas Insuk HONG LAP TIME,Thomas Insuk HONG ELAPSED TIME,Clement FLORAC POSITION,Clement FLORAC LAP TIME,Clement FLORAC ELAPSED TIME,Bartosz KONOPKO POSITION,Bartosz KONOPKO LAP TIME,Bartosz KONOPKO ELAPSED TIME,ANDERMANN Dominic POSITION,ANDERMANN Dominic LAP TIME,ANDERMANN Dominic ELAPSED TIME,TSANG Kei Wing Kelvin POSITION,TSANG Kei Wing Kelvin LAP TIME,TSANG Kei Wing Kelvin ELAPSED TIME
4,13.54,13.54,3,13.49,13.49,1,13.41,13.41,5,13.68,13.68,2,13.47,13.47
4,10.42,23.96,3,10.22,23.71,2,10.19,23.60,5,10.38,24.06,1,9.90,23.37
4,9.82,33.78,3,9.97,33.68,1,9.95,33.55,5,9.84,33.90,2,10.20,33.57
3,9.54,43.32,2,9.52,43.20,1,9.54,43.09,4,9.70,43.60,5,10.07,43.64
3,9.28,52.60,2,9.38,52.58,1,9.38,52.47,4,9.30,52.90,5,10.02,53.66
2,9.00,1:01.60,3,9.20,1:01.78,1,9.09,1:01.56,4,9.15,1:02.05,5,10.18,1:03.84
2,9.21,1:10.81,3,9.51,1:11.29,1,9.14,1:10.70,4,9.35,1:11.40,5,10.58,1:14.42
2,9.24,1:20.05,3,9.37,1:20.66,1,9.22,1:19.92,4,9.39,1:20.79,5,11.00,1:25.42
2,9.53,1:29.58,3,9.59,1:30.25,1,9.53,1:29.45,4,9.78,1:30.555,5,11.45,1:36.841
