Ruslan ZAKHAROV POSITION,Ruslan ZAKHAROV LAP TIME,Ruslan ZAKHAROV ELAPSED TIME,Lachlan HAY POSITION,Lachlan HAY LAP TIME,Lachlan HAY ELAPSED TIME,Jakub JAWORSKI POSITION,Jakub JAWORSKI LAP TIME,Jakub JAWORSKI ELAPSED TIME,Assen PANDOV POSITION,Assen PANDOV LAP TIME,Assen PANDOV ELAPSED TIME,TSAI Ping-Yuan POSITION,TSAI Ping-Yuan LAP TIME,TSAI Ping-Yuan ELAPSED TIME
2,9.09,9.09,1,8.96,8.96,5,9.57,9.57,3,9.11,9.11,4,9.56,9.56
1,12.33,21.42,4,12.92,21.88,2,12.13,21.70,3,12.66,21.77,5,12.58,22.14
1,11.67,33.09,4,11.67,33.55,2,11.56,33.26,3,11.59,33.36,5,11.54,33.68
2,11.15,44.24,1,10.64,44.19,3,11.06,44.32,4,11.13,44.49,5,11.04,44.72
2,10.46,54.70,1,10.38,54.57,3,10.45,54.77,4,10.35,54.84,5,10.53,55.25
1,10.84,1:05.54,2,11.02,1:05.59,3,10.98,1:05.75,4,10.93,1:05.77,5,10.85,1:06.10
1,10.44,1:15.98,2,10.60,1:16.19,4,10.47,1:16.22,3,10.44,1:16.21,5,10.44,1:16.54
1,10.63,1:26.61,2,10.51,1:26.70,3,10.61,1:26.83,4,10.65,1:26.86,5,10.63,1:27.17
1,10.25,1:36.86,2,10.38,1:37.08,3,10.30,1:37.13,4,10.28,1:37.14,5,10.30,1:37.47
1,9.88,1:46.74,2,9.91,1:46.99,3,9.96,1:47.09,4,10.02,1:47.16,5,9.95,1:47.42
1,9.84,1:56.58,2,9.74,1:56.73,3,9.73,1:56.82,4,9.69,1:56.85,5,9.84,1:57.26
1,9.35,2:05.93,2,9.42,2:06.15,3,9.43,2:06.25,4,9.42,2:06.27,5,10.31,2:07.57
1,9.22,2:15.15,2,9.34,2:15.49,3,9.36,2:15.61,4,9.41,2:15.68,5,10.74,2:18.31
1,9.84,2:24.982,2,9.80,2:25.291,3,10.17,2:25.779,4,10.41,2:26.087,5,11.33,2:29.637
