Yoshiaki OGURO POSITION,Yoshiaki OGURO LAP TIME,Yoshiaki OGURO ELAPSED TIME,Koen HAKKENBERG POSITION,Koen HAKKENBERG LAP TIME,Koen HAKKENBERG ELAPSED TIME,Jake POWERS POSITION,Jake POWERS LAP TIME,Jake POWERS ELAPSED TIME
1,13.80,13.80,2,13.91,13.91,3,14.00,14.00
1,10.96,24.76,2,10.93,24.84,3,10.98,24.98
2,10.41,35.17,1,10.22,35.06,3,10.21,35.19
3,9.25,44.42,2,9.22,44.28,1,8.99,44.18
3,9.30,53.72,2,9.31,53.59,1,9.32,53.50
3,9.47,1:03.19,2,9.49,1:03.08,1,9.47,1:02.97
3,9.37,1:12.56,2,9.40,1:12.48,1,9.44,1:12.41
3,9.54,1:22.10,2,9.45,1:21.93,1,9.39,1:21.80
1,9.25,1:31.344,2,9.83,1:31.756,3,10.43,1:32.222
