BULGARIA POSITION,BULGARIA LAP TIME,BULGARIA ELAPSED TIME,JAPAN POSITION,JAPAN LAP TIME,JAPAN ELAPSED TIME,KAZAKHSTAN POSITION,KAZAKHSTAN LAP TIME,KAZAKHSTAN ELAPSED TIME,CHINA POSITION,CHINA LAP TIME,CHINA ELAPSED TIME
4,17.08,17.08,2,16.81,16.81,3,16.98,16.98,1,16.77,16.77
4,11.44,28.52,2,11.47,28.28,3,11.42,28.40,1,11.41,28.18
4,11.25,39.77,2,11.25,39.53,3,11.24,39.64,1,11.28,39.46
4,10.81,50.58,2,10.76,50.29,3,10.78,50.42,1,10.70,50.16
4,10.20,1:00.78,2,10.19,1:00.48,3,10.20,1:00.62,1,10.16,1:00.32
4,9.59,1:10.37,2,9.62,1:10.10,3,9.56,1:10.18,1,9.69,1:10.01
4,9.67,1:20.04,2,9.72,1:19.82,3,9.75,1:19.93,1,9.70,1:19.71
4,9.77,1:29.81,2,9.74,1:29.56,3,9.76,1:29.69,1,9.62,1:29.33
4,9.41,1:39.22,2,9.49,1:39.05,3,9.44,1:39.13,1,9.66,1:38.99
4,9.83,1:49.05,2,9.71,1:48.76,3,9.74,1:48.87,1,9.63,1:48.62
4,9.50,1:58.55,2,9.43,1:58.19,3,9.42,1:58.29,1,9.45,1:58.07
4,9.29,2:07.84,2,9.32,2:07.51,3,9.32,2:07.61,1,9.36,2:07.43
4,9.48,2:17.32,2,9.45,2:16.96,3,9.53,2:17.14,1,9.39,2:16.82
4,9.37,2:26.69,2,9.11,2:26.07,3,9.08,2:26.22,1,9.05,2:25.87
4,9.16,2:35.85,2,9.16,2:35.23,3,9.08,2:35.30,1,9.29,2:35.16
4,9.27,2:45.12,3,9.27,2:44.50,2,9.08,2:44.38,1,9.09,2:44.25
4,9.34,2:54.46,3,9.01,2:53.51,2,8.96,2:53.34,1,8.93,2:53.18
4,9.20,3:03.66,2,8.76,3:02.27,2,8.93,3:02.27,1,8.98,3:02.16
4,9.25,3:12.91,2,9.06,3:11.33,3,9.22,3:11.49,1,9.09,3:11.25
4,9.27,3:22.18,2,8.99,3:20.32,3,8.95,3:20.44,1,8.55,3:19.80
4,9.39,3:31.57,2,9.09,3:29.41,3,9.09,3:29.53,1,9.55,3:29.35
4,10.99,3:42.56,2,9.02,3:38.43,3,9.00,3:38.53,1,8.87,3:38.22
4,9.87,3:52.43,2,8.72,3:47.15,3,8.82,3:47.35,1,8.68,3:46.90
4,9.32,4:01.75,2,8.66,3:55.81,3,8.65,3:56.00,1,8.78,3:55.68
4,9.27,4:11.02,2,8.83,4:04.64,3,8.87,4:04.87,1,8.85,4:04.53
4,9.78,4:20.80,2,9.00,4:13.64,3,8.84,4:13.71,1,8.98,4:13.51
4,9.51,4:30.31,2,9.12,4:22.76,3,9.23,4:22.94,1,9.13,4:22.64
4,9.76,4:40.07,3,9.03,4:31.79,2,8.77,4:31.71,1,8.96,4:31.60
4,10.05,4:50.12,3,8.91,4:40.70,2,8.88,4:40.59,1,8.81,4:40.41
4,9.73,4:59.85,3,8.92,4:49.62,2,8.89,4:49.48,1,8.91,4:49.32
4,9.28,5:09.13,3,8.85,4:58.47,2,8.87,4:58.35,1,8.57,4:57.89
4,9.85,5:18.98,2,8.97,5:07.44,3,9.19,5:07.54,1,9.32,5:07.21
4,9.63,5:28.61,3,9.01,5:16.45,2,8.69,5:16.23,1,8.98,5:16.19
4,9.75,5:38.36,3,8.90,5:25.35,2,9.08,5:25.31,1,9.02,5:25.21
4,10.01,5:48.37,2,8.89,5:34.24,3,9.09,5:34.40,1,8.89,5:34.10
4,9.55,5:57.92,2,8.75,5:42.99,3,8.75,5:43.15,1,8.82,5:42.92
4,9.34,6:07.26,2,9.08,5:52.07,3,8.97,5:52.12,1,9.04,5:51.96
4,10.31,6:17.57,2,9.03,6:01.10,3,9.12,6:01.24,1,9.02,6:00.98
4,9.75,6:27.32,2,8.93,6:10.03,3,8.83,6:10.07,1,8.98,6:09.96
4,10.08,6:37.40,3,9.21,6:19.24,2,9.11,6:19.18,1,8.90,6:18.86
4,10.24,6:47.64,3,9.09,6:28.33,2,8.86,6:28.04,1,8.85,6:27.71
4,9.87,6:57.51,3,8.59,6:36.92,2,8.86,6:36.90,1,9.07,6:36.78
4,9.81,7:07.32,2,8.76,6:45.68,3,8.94,6:45.84,1,8.75,6:45.53
4,9.63,7:16.95,3,8.99,6:54.67,2,8.77,6:54.61,1,8.57,6:54.10
4,11.52,7:28.47,3,8.83,7:03.50,2,8.72,7:03.33,1,8.79,7:02.89
