Nikolay STANCHEV POSITION,Nikolay STANCHEV LAP TIME,Nikolay STANCHEV ELAPSED TIME,Robbert-Kees BOER POSITION,Robbert-Kees BOER LAP TIME,Robbert-Kees BOER ELAPSED TIME,Mark McNEE POSITION,Mark McNEE LAP TIME,Mark McNEE ELAPSED TIME,Gellert PATAKI POSITION,Gellert PATAKI LAP TIME,Gellert PATAKI ELAPSED TIME,Matthew LINDSAY POSITION,Matthew LINDSAY LAP TIME,Matthew LINDSAY ELAPSED TIME,Rusty SMITH POSITION,Rusty SMITH LAP TIME,Rusty SMITH ELAPSED TIME
2,10.070,10.070,3,10.247,10.247,6,10.811,10.811,5,10.415,10.415,4,10.312,10.312,1,9.994,9.994
4,15.101,25.170,1,14.625,24.872,6,14.845,25.655,3,14.692,25.107,5,15.062,25.374,2,15.018,25.011
4,13.539,38.709,3,13.704,38.576,6,13.357,39.011,5,13.766,38.872,2,13.094,38.467,1,13.433,38.444
1,12.775,51.483,2,13.022,51.598,6,13.063,52.074,5,13.107,51.979,4,13.342,51.809,3,13.270,51.714
1,11.799,1:03.282,3,12.105,1:03.702,4,11.767,1:03.840,6,12.093,1:04.071,5,12.099,1:03.908,2,11.959,1:03.672
2,11.569,1:14.850,3,11.212,1:14.914,1,10.860,1:14.700,6,11.591,1:15.661,5,11.155,1:15.062,4,11.330,1:15.001
5,10.710,1:25.559,1,10.309,1:25.223,2,10.665,1:25.364,6,10.378,1:26.039,3,10.315,1:25.377,4,10.456,1:25.456
4,10.334,1:35.893,1,10.367,1:35.589,2,10.376,1:35.740,6,10.513,1:36.552,3,10.462,1:35.838,5,10.478,1:35.934
5,10.228,1:46.120,1,10.278,1:45.866,2,10.129,1:45.869,6,10.472,1:47.023,3,10.133,1:45.970,4,10.181,1:46.114
3,9.677,1:55.796,4,9.938,1:55.804,1,9.810,1:55.678,6,11.470,1:58.493,5,9.991,1:55.961,2,9.598,1:55.712
4,10.136,2:05.932,3,9.845,2:05.649,2,9.872,2:05.549,6,11.183,2:09.676,5,10.192,2:06.153,1,9.651,2:05.362
5,10.456,2:16.388,3,9.609,2:15.257,2,9.653,2:15.201,6,11.749,2:21.424,4,10.092,2:16.244,1,9.755,2:15.116
5,10.502,2:26.889,2,10.124,2:25.380,1,9.944,2:25.145,6,11.950,2:33.373,4,10.480,2:26.724,3,10.466,2:25.582
5,11.51,2:38.391,3,10.11,2:35.485,2,10.04,2:35.184,6,12.71,2:46.079,4,10.90,2:37.619,1,9.52,2:35.099
