Yasuko SAKASHITA POSITION,Yasuko SAKASHITA LAP TIME,Yasuko SAKASHITA ELAPSED TIME,Jorien ter MORS POSITION,Jorien ter MORS LAP TIME,Jorien ter MORS ELAPSED TIME,CHO Ha-Ri POSITION,CHO Ha-Ri LAP TIME,CHO Ha-Ri ELAPSED TIME,Nina EVTEEVA POSITION,Nina EVTEEVA LAP TIME,Nina EVTEEVA ELAPSED TIME,Bernadett HEIDUM POSITION,Bernadett HEIDUM LAP TIME,Bernadett HEIDUM ELAPSED TIME
2,13.69,13.69,1,13.60,13.60,5,14.06,14.06,4,13.95,13.95,3,13.73,13.73
3,10.71,24.40,2,10.68,24.28,5,10.65,24.71,4,10.59,24.54,1,10.52,24.25
3,10.13,34.53,2,10.14,34.42,5,10.09,34.80,4,10.15,34.69,1,10.05,34.30
3,9.93,44.46,2,9.94,44.36,4,9.75,44.55,5,10.06,44.75,1,9.97,44.27
3,9.89,54.35,2,9.87,54.23,4,9.90,54.45,5,9.82,54.57,1,9.86,54.13
3,9.73,1:04.08,1,9.62,1:03.85,4,9.63,1:04.08,5,9.72,1:04.29,2,9.80,1:03.93
4,9.84,1:13.92,1,9.55,1:13.40,3,9.67,1:13.75,5,9.76,1:14.05,2,9.70,1:13.63
4,9.74,1:23.66,1,9.50,1:22.90,2,9.30,1:23.05,5,9.69,1:23.74,3,9.70,1:23.33
4,9.92,1:33.577,2,9.71,1:32.603,1,9.35,1:32.399,5,9.93,1:33.668,3,9.93,1:33.257
