Bulat VALIULLIN POSITION,Bulat VALIULLIN LAP TIME,Bulat VALIULLIN ELAPSED TIME,Assen PANDOV POSITION,Assen PANDOV LAP TIME,Assen PANDOV ELAPSED TIME,LI Ye POSITION,LI Ye LAP TIME,LI Ye ELAPSED TIME,Jon ELEY POSITION,Jon ELEY LAP TIME,Jon ELEY ELAPSED TIME,Sascha LAUBER POSITION,Sascha LAUBER LAP TIME,Sascha LAUBER ELAPSED TIME
1,8.722,8.722,3,8.952,8.952,5,9.397,9.397,4,9.353,9.353,2,8.921,8.921
1,13.006,21.728,2,12.968,21.920,5,13.011,22.408,4,13.026,22.379,3,13.038,21.959
1,12.475,34.202,3,12.541,34.460,5,12.429,34.836,4,12.395,34.774,2,12.476,34.435
1,12.329,46.531,3,12.290,46.750,5,12.274,47.109,4,12.237,47.010,2,12.247,46.682
1,11.736,58.266,3,11.831,58.580,4,11.692,58.801,5,11.802,58.811,2,11.691,58.372
1,9.976,1:08.242,3,10.159,1:08.739,5,10.222,1:09.023,4,10.043,1:08.854,2,10.026,1:08.398
1,9.714,1:17.955,3,9.653,1:18.392,5,9.529,1:18.551,4,9.588,1:18.442,2,9.670,1:18.068
1,9.854,1:27.809,3,9.885,1:28.276,4,9.792,1:28.343,5,9.913,1:28.354,2,9.875,1:27.943
2,9.531,1:37.339,3,9.381,1:37.657,4,9.479,1:37.821,5,9.471,1:37.825,1,9.391,1:37.333
1,9.522,1:46.861,5,9.657,1:47.313,4,9.470,1:47.291,3,9.405,1:47.230,2,9.599,1:46.932
1,9.587,1:56.447,4,9.599,1:56.911,5,9.650,1:56.941,2,9.510,1:56.740,3,9.830,1:56.762
1,9.669,2:06.116,4,9.661,2:06.572,3,9.398,2:06.338,2,9.500,2:06.239,5,9.856,2:06.618
3,9.932,2:16.047,4,10.260,2:16.832,1,9.632,2:15.970,2,9.743,2:15.982,5,10.728,2:17.345
3,9.70,2:25.738,4,11.09,2:27.918,1,9.66,2:25.629,2,9.67,2:25.649,5,11.59,2:28.934
