Iong A KIM POSITION,Iong A KIM LAP TIME,Iong A KIM ELAPSED TIME,SARAULT Courtney Lee POSITION,SARAULT Courtney Lee LAP TIME,SARAULT Courtney Lee ELAPSED TIME,de VRIES Rianne POSITION,de VRIES Rianne LAP TIME,de VRIES Rianne ELAPSED TIME,UZAKOVA Mariia-Mahdalyna POSITION,UZAKOVA Mariia-Mahdalyna LAP TIME,UZAKOVA Mariia-Mahdalyna ELAPSED TIME,HIRAI Ami POSITION,HIRAI Ami LAP TIME,HIRAI Ami ELAPSED TIME
2,10.21,10.21,1,10.04,10.04,3,10.37,10.37,5,10.67,10.67,4,10.53,10.53
2,13.94,24.15,1,13.96,24.00,3,13.86,24.23,5,13.92,24.59,4,13.92,24.45
2,13.10,37.25,1,13.09,37.09,3,13.13,37.36,5,13.09,37.68,4,13.09,37.54
3,12.81,50.06,1,12.83,49.92,2,12.66,50.02,5,12.75,50.43,4,12.79,50.33
3,12.37,1:02.43,1,12.27,1:02.19,2,12.30,1:02.32,5,12.28,1:02.71,4,12.26,1:02.59
4,11.32,1:13.75,3,11.45,1:13.64,2,11.23,1:13.55,5,11.12,1:13.83,1,10.87,1:13.46
4,10.16,1:23.91,3,10.17,1:23.81,2,10.16,1:23.71,5,10.19,1:24.02,1,10.15,1:23.61
4,9.71,1:33.62,2,9.70,1:33.51,3,9.89,1:33.60,5,9.74,1:33.76,1,9.80,1:33.41
4,9.45,1:43.07,2,9.46,1:42.97,3,9.45,1:43.05,5,9.48,1:43.24,1,9.49,1:42.90
4,9.50,1:52.57,2,9.35,1:52.32,3,9.41,1:52.46,5,9.51,1:52.75,1,9.38,1:52.28
4,9.48,2:02.05,1,9.47,2:01.79,2,9.41,2:01.87,5,9.61,2:02.36,3,9.72,2:02.00
4,9.71,2:11.76,1,9.57,2:11.36,2,9.60,2:11.47,5,9.90,2:12.26,3,9.66,2:11.66
4,9.58,2:21.34,1,9.63,2:20.99,2,9.62,2:21.09,5,10.34,2:22.60,3,9.58,2:21.24
4,9.77,2:31.11,1,9.78,2:30.77,2,9.79,2:30.88,5,10.83,2:33.43,3,9.74,2:30.98
