Jorien ter MORS POSITION,Jorien ter MORS LAP TIME,Jorien ter MORS ELAPSED TIME,CHRISTIE Elise POSITION,CHRISTIE Elise LAP TIME,CHRISTIE Elise ELAPSED TIME,Agne SEREIKAITE POSITION,Agne SEREIKAITE LAP TIME,Agne SEREIKAITE ELAPSED TIME,Xuan Ming NG POSITION,Xuan Ming NG LAP TIME,Xuan Ming NG ELAPSED TIME
3,13.03,13.03,2,12.90,12.90,1,12.61,12.61,4,15.20,15.20
3,9.68,22.71,2,9.69,22.59,1,9.86,22.47,4,11.96,27.16
3,9.33,32.04,2,9.36,31.95,1,9.38,31.85,4,12.37,39.53
1,9.21,41.25,2,9.52,41.47,3,17.93,49.78,4,14.25,53.78
1,9.60,50.85,2,9.71,51.18,4,18.14,1:07.92,3,13.27,1:07.05
1,9.64,1:00.49,2,9.50,1:00.68,3,12.19,1:20.11,4,14.54,1:21.59
1,9.62,1:10.11,2,9.54,1:10.22,3,10.99,1:31.10,4,13.40,1:34.99
1,9.63,1:19.74,2,9.65,1:19.87,3,11.18,1:42.28,4,13.74,1:48.73
1,9.74,1:29.479,2,9.81,1:29.674,0,,PEN,3,16.34,2:05.069
