SHAMUKHANOV Yerkebulan POSITION,SHAMUKHANOV Yerkebulan LAP TIME,SHAMUKHANOV Yerkebulan ELAPSED TIME,ROES Sven POSITION,ROES Sven LAP TIME,ROES Sven ELAPSED TIME,TENZER Robin POSITION,TENZER Robin LAP TIME,TENZER Robin ELAPSED TIME,TIBORCZ Daniel POSITION,TIBORCZ Daniel LAP TIME,TIBORCZ Daniel ELAPSED TIME,Joshua KAH POSITION,Joshua KAH LAP TIME,Joshua KAH ELAPSED TIME
4,13.73,,3,13.61,13.61,2,13.48,13.48,1,13.41,13.41,5,13.88,13.88
4,10.03,,1,9.79,23.40,1,9.92,23.40,3,10.17,23.58,5,9.97,23.85
4,9.70,,1,9.67,33.07,2,9.77,33.17,3,9.73,33.31,5,9.70,33.55
4,9.43,,1,9.39,42.46,2,9.43,42.60,3,9.44,42.75,5,9.50,43.05
4,9.22,,1,9.18,51.64,2,9.24,51.84,3,9.21,51.96,5,9.18,52.23
3,9.07,,1,9.13,1:00.77,2,9.29,1:01.13,4,9.26,1:01.22,5,9.13,1:01.36
2,9.29,,1,9.18,1:09.95,5,10.32,1:11.45,4,9.65,1:10.87,3,9.35,1:10.71
2,9.43,,1,9.42,1:19.37,5,10.43,1:21.88,4,10.04,1:20.91,3,9.54,1:20.25
2,9.87,,1,9.85,1:29.22,5,10.74,1:32.62,3,10.85,1:31.768,3,9.70,1:29.95
