Evgenia RADANOVA POSITION,Evgenia RADANOVA LAP TIME,Evgenia RADANOVA ELAPSED TIME,JIN Sun-Yu POSITION,JIN Sun-Yu LAP TIME,JIN Sun-Yu ELAPSED TIME,CHOI Eun-Kyung POSITION,CHOI Eun-Kyung LAP TIME,CHOI Eun-Kyung ELAPSED TIME,YANG A Yang POSITION,YANG A Yang LAP TIME,YANG A Yang ELAPSED TIME
2,13.387,13.387,1,13.329,13.329,4,13.424,13.424,3,13.415,13.415
4,9.951,23.338,3,9.899,23.228,1,9.723,23.146,2,9.790,23.205
3,9.700,33.037,4,9.969,33.196,2,9.867,33.013,1,9.770,32.974
4,9.974,43.011,2,9.800,42.996,3,9.995,43.008,1,9.926,42.900
2,10.132,53.143,4,10.356,53.351,3,10.246,53.253,1,10.227,53.126
2,10.139,1:03.282,4,10.022,1:03.373,1,9.759,1:03.012,3,10.207,1:03.333
3,9.923,1:13.205,1,9.766,1:13.138,4,10.916,1:13.927,2,9.807,1:13.139
2,10.114,1:23.318,1,10.101,1:23.239,3,9.428,1:23.354,4,10.230,1:23.369
3,10.35,1:33.668,1,10.06,1:33.298,2,10.12,1:33.469,4,10.82,1:34.180
