Marie-Andree MENDES-CAMPEAU POSITION,Marie-Andree MENDES-CAMPEAU LAP TIME,Marie-Andree MENDES-CAMPEAU ELAPSED TIME,SUN Linlin POSITION,SUN Linlin LAP TIME,SUN Linlin ELAPSED TIME,PARK Seung-Hi POSITION,PARK Seung-Hi LAP TIME,PARK Seung-Hi ELAPSED TIME,Katerina NOVOTNA POSITION,Katerina NOVOTNA LAP TIME,Katerina NOVOTNA ELAPSED TIME,Cecilia MAFFEI POSITION,Cecilia MAFFEI LAP TIME,Cecilia MAFFEI ELAPSED TIME,Maria GARCIA POSITION,Maria GARCIA LAP TIME,Maria GARCIA ELAPSED TIME
3,9.17,9.17,5,9.43,9.43,1,9.02,9.02,4,9.24,9.24,6,9.56,9.56,2,9.08,9.08
1,13.40,22.57,3,13.26,22.69,2,13.60,22.62,4,13.54,22.79,6,13.46,23.02,5,13.80,22.88
4,11.88,34.46,2,11.64,34.33,3,11.79,34.42,1,11.53,34.32,5,11.72,34.74,6,11.93,34.81
2,12.08,46.54,1,12.06,46.40,4,12.22,46.64,3,12.21,46.54,5,12.09,46.84,6,12.07,46.89
3,12.19,58.74,2,12.21,58.62,4,12.20,58.85,1,11.77,58.32,5,12.15,59.00,6,12.19,59.08
3,10.98,1:09.73,2,11.00,1:09.62,4,11.04,1:09.89,1,11.09,1:09.41,5,10.91,1:09.91,6,10.89,1:09.98
1,9.66,1:19.39,2,10.02,1:19.64,3,9.81,1:19.70,4,10.28,1:19.70,5,9.88,1:19.80,6,9.88,1:19.86
1,9.70,1:29.10,2,9.58,1:29.23,4,9.63,1:29.33,3,9.59,1:29.29,5,9.71,1:29.51,6,9.73,1:29.60
1,9.43,1:38.53,2,9.35,1:38.58,4,9.53,1:38.87,3,9.39,1:38.69,6,9.55,1:39.07,5,9.40,1:39.00
1,9.52,1:48.06,2,9.62,1:48.20,4,9.35,1:48.22,3,9.51,1:48.20,5,9.35,1:48.42,6,9.43,1:48.43
1,9.67,1:57.73,2,9.62,1:57.82,3,9.62,1:57.85,4,9.75,1:57.95,5,9.73,1:58.15,6,9.82,1:58.26
2,9.69,2:07.42,1,9.47,2:07.29,4,9.66,2:07.51,3,9.50,2:07.45,6,9.66,2:07.81,5,9.54,2:07.80
1,9.59,2:17.02,2,9.76,2:17.06,3,9.60,2:17.11,5,10.63,2:18.09,4,9.85,2:17.66,6,10.79,2:18.60
4,10.82,2:27.834,2,9.82,2:26.875,1,9.29,2:26.397,5,10.94,2:29.029,3,10.15,2:27.802,0,,DQ
