Charle COURNOYER POSITION,Charle COURNOYER LAP TIME,Charle COURNOYER ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,XU Hongzhi POSITION,XU Hongzhi LAP TIME,XU Hongzhi ELAPSED TIME,Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,J.R. CELSKI POSITION,J.R. CELSKI LAP TIME,J.R. CELSKI ELAPSED TIME,TREACY Farrell POSITION,TREACY Farrell LAP TIME,TREACY Farrell ELAPSED TIME
2,9.61,9.61,4,9.97,9.97,3,9.75,9.75,1,9.50,9.50,5,10.15,,6,10.22,
4,14.04,23.65,6,14.01,23.98,5,14.07,23.82,2,13.89,23.39,3,13.39,,1,13.03,
4,11.88,35.53,6,11.72,35.70,5,11.72,35.54,3,12.09,35.48,2,11.91,,1,12.03,
4,10.35,45.88,5,10.24,45.94,2,10.18,45.72,6,10.54,46.02,2,10.27,,1,10.43,
4,9.92,55.80,6,9.98,55.92,3,9.99,55.71,5,9.88,55.90,1,9.84,,2,9.90,
4,9.81,1:05.61,6,9.98,1:05.90,2,9.81,1:05.52,5,9.88,1:05.78,3,10.03,,1,9.89,
1,9.27,1:14.88,6,9.40,1:15.30,2,9.44,1:14.96,5,9.44,1:15.22,4,9.51,,2,9.46,
1,9.43,1:24.31,5,9.40,1:24.70,6,10.09,1:25.05,3,9.28,1:24.50,4,9.50,,2,9.45,
1,9.72,1:34.03,5,9.69,1:34.39,6,9.47,1:34.52,4,9.73,1:34.23,3,9.61,,2,9.71,
1,9.27,1:43.30,4,9.20,1:43.59,5,9.20,1:43.72,3,9.25,1:43.48,2,9.24,,6,10.25,
1,9.19,1:52.49,5,9.30,1:52.89,4,9.07,1:52.79,3,9.20,1:52.68,2,9.14,,6,11.03,
1,9.15,2:01.64,5,9.04,2:01.93,4,9.09,2:01.88,2,9.03,2:01.71,3,9.14,,6,11.25,
2,9.32,2:10.96,3,9.14,2:11.07,5,31.25,2:33.13,1,9.23,2:10.94,6,37.13,,4,10.92,
3,9.61,2:20.57,2,9.37,2:20.44,5,14.18,2:47.31,1,9.43,2:20.37,6,16.09,,4,11.81,
