LEE Seung-Jae POSITION,LEE Seung-Jae LAP TIME,LEE Seung-Jae ELAPSED TIME,Cees JUFFERMANS POSITION,Cees JUFFERMANS LAP TIME,Cees JUFFERMANS ELAPSED TIME,Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,Wim de DEYNE POSITION,Wim de DEYNE LAP TIME,Wim de DEYNE ELAPSED TIME,Yaroslav KARPOUKHIN POSITION,Yaroslav KARPOUKHIN LAP TIME,Yaroslav KARPOUKHIN ELAPSED TIME
2,6.742,6.742,3,6.841,6.841,5,7.297,7.297,1,6.698,6.698,4,7.045,7.045
2,9.369,16.111,3,9.343,16.183,4,9.165,16.462,1,9.371,16.069,5,9.442,16.487
1,9.003,25.113,5,9.686,25.869,4,9.119,25.580,2,9.242,25.310,3,9.000,25.486
1,9.088,34.201,5,9.672,35.541,3,9.226,34.806,2,9.098,34.408,4,9.453,34.939
1,9.39,43.588,4,9.96,45.492,0,,DQ,2,9.47,43.875,3,9.50,44.432
