Anne MALTAIS POSITION,Anne MALTAIS LAP TIME,Anne MALTAIS ELAPSED TIME,Evgenia RADANOVA POSITION,Evgenia RADANOVA LAP TIME,Evgenia RADANOVA ELAPSED TIME,CHO Ha-Ri POSITION,CHO Ha-Ri LAP TIME,CHO Ha-Ri ELAPSED TIME,Liesbeth MAU ASAM POSITION,Liesbeth MAU ASAM LAP TIME,Liesbeth MAU ASAM ELAPSED TIME
0,,,0,,,0,,,0,,
0,,,0,,,0,,,0,,
0,,,0,,,0,,,0,,
0,,,0,,,0,,,0,,
2,7.340,7.340,1,7.250,7.250,3,7.450,7.450,4,7.620,7.620
1,9.690,17.040,2,9.810,17.060,3,9.640,17.090,4,9.730,17.350
3,9.480,26.520,1,9.300,26.370,4,9.490,26.590,2,9.150,26.500
3,9.580,36.110,1,9.640,36.010,4,9.520,36.110,2,9.550,36.060
3,9.850,45.960,2,9.660,45.670,1,9.190,45.310,4,9.910,45.970
