LEE Jung Su POSITION,LEE Jung Su LAP TIME,LEE Jung Su ELAPSED TIME,Viktor KNOCH POSITION,Viktor KNOCH LAP TIME,Viktor KNOCH ELAPSED TIME,STRAATHOF Rutger POSITION,STRAATHOF Rutger LAP TIME,STRAATHOF Rutger ELAPSED TIME,Ryan BEDFORD POSITION,Ryan BEDFORD LAP TIME,Ryan BEDFORD ELAPSED TIME
4,7.818,7.818,1,7.285,7.285,2,7.481,7.481,3,7.745,7.745
4,9.582,17.400,1,9.553,16.838,2,9.574,17.055,3,9.402,17.146
3,9.009,26.409,1,9.026,25.863,4,9.406,26.460,2,8.997,26.143
3,9.234,35.643,1,9.073,34.936,4,9.472,35.932,2,9.414,35.557
3,9.03,44.664,1,9.25,44.182,4,9.10,45.030,2,8.73,44.278
