Lia STEPANOVA POSITION,Lia STEPANOVA LAP TIME,Lia STEPANOVA ELAPSED TIME,Lucia PERETTI POSITION,Lucia PERETTI LAP TIME,Lucia PERETTI ELAPSED TIME,Maaike VOS POSITION,Maaike VOS LAP TIME,Maaike VOS ELAPSED TIME,Anne MALTAIS POSITION,Anne MALTAIS LAP TIME,Anne MALTAIS ELAPSED TIME
1,14.19,14.19,2,14.51,14.51,3,14.64,14.64,4,14.80,14.80
1,11.75,25.94,3,11.66,26.18,2,11.53,26.18,4,11.60,26.40
1,11.50,37.45,2,11.47,37.65,3,11.64,37.82,4,11.54,37.94
1,10.22,47.67,2,10.30,47.95,3,10.17,47.99,4,10.20,48.14
1,10.04,57.72,2,10.06,58.02,3,10.08,58.07,4,10.01,58.16
1,10.27,1:07.99,4,10.30,1:08.32,2,10.10,1:08.18,3,10.12,1:08.28
3,10.27,1:18.27,4,10.12,1:18.44,2,9.97,1:18.16,1,9.69,1:17.97
3,10.10,1:28.37,4,10.25,1:28.70,2,9.88,1:28.04,1,9.98,1:27.95
3,10.14,1:38.502,4,10.70,1:39.391,2,10.44,1:38.475,1,10.46,1:38.407
