BURIC Katarina POSITION,BURIC Katarina LAP TIME,BURIC Katarina ELAPSED TIME,DESMET Hanne POSITION,DESMET Hanne LAP TIME,DESMET Hanne ELAPSED TIME,SEJPALOVA-HRUZOVA Michaela POSITION,SEJPALOVA-HRUZOVA Michaela LAP TIME,SEJPALOVA-HRUZOVA Michaela ELAPSED TIME,GAGNON Claudia POSITION,GAGNON Claudia LAP TIME,GAGNON Claudia ELAPSED TIME,UZAKOVA Mariia-Mahdalyna POSITION,UZAKOVA Mariia-Mahdalyna LAP TIME,UZAKOVA Mariia-Mahdalyna ELAPSED TIME,YAKIMOVA Anna POSITION,YAKIMOVA Anna LAP TIME,YAKIMOVA Anna ELAPSED TIME,Lucia PERETTI POSITION,Lucia PERETTI LAP TIME,Lucia PERETTI ELAPSED TIME
1,10.56,10.56,7,11.63,11.63,4,11.08,11.08,3,10.93,10.93,2,10.73,10.73,6,11.42,11.42,5,11.24,11.24
2,13.56,24.12,7,13.22,24.85,3,13.21,24.29,4,13.54,24.47,1,13.29,24.02,6,13.27,24.69,5,13.34,24.58
2,12.42,36.54,7,12.34,37.19,3,12.38,36.67,4,12.37,36.84,1,12.40,36.42,6,12.36,37.05,5,12.34,36.92
2,12.94,49.48,7,12.95,50.14,3,12.93,49.60,4,12.88,49.72,1,12.92,49.34,6,12.90,49.95,5,12.92,49.84
2,13.02,1:02.50,7,13.01,1:03.15,3,13.05,1:02.65,4,13.04,1:02.76,1,13.04,1:02.38,6,13.03,1:02.98,5,13.02,1:02.86
4,12.07,1:14.57,7,11.86,1:15.01,1,11.75,1:14.40,3,11.76,1:14.52,2,12.05,1:14.43,6,11.93,1:14.91,5,11.91,1:14.77
5,11.08,1:25.65,7,10.88,1:25.89,1,10.96,1:25.36,3,11.06,1:25.58,2,11.04,1:25.47,6,10.86,1:25.77,4,10.86,1:25.63
7,10.41,1:36.06,6,10.13,1:36.02,1,10.22,1:35.58,5,10.23,1:35.81,3,10.24,1:35.71,4,9.99,1:35.76,2,10.05,1:35.68
7,9.90,1:45.96,4,9.70,1:45.72,1,9.79,1:45.37,3,9.79,1:45.60,2,9.86,1:45.57,6,10.18,1:45.94,5,10.06,1:45.74
6,9.87,1:55.83,3,9.54,1:55.26,1,9.66,1:55.03,2,9.58,1:55.18,4,10.01,1:55.58,7,10.21,1:56.15,5,9.90,1:55.64
6,9.88,2:05.71,3,9.51,2:04.77,1,9.54,2:04.57,2,9.51,2:04.69,5,9.90,2:05.48,7,10.28,2:06.43,4,9.53,2:05.17
6,10.12,2:15.83,2,9.58,2:14.35,1,9.69,2:14.26,3,9.68,2:14.37,5,10.21,2:15.69,7,10.60,2:17.03,4,9.47,2:14.64
6,10.61,2:26.44,1,9.43,2:23.78,2,9.85,2:24.11,3,9.84,2:24.21,5,10.63,2:26.32,7,11.36,2:28.39,4,9.74,2:24.38
6,10.96,2:37.405,1,9.48,2:33.266,2,9.90,2:34.014,3,9.86,2:34.075,5,10.99,2:37.317,7,12.49,2:40.883,4,10.03,2:34.412
