KIM Min-Jung POSITION,KIM Min-Jung LAP TIME,KIM Min-Jung ELAPSED TIME,Sophia MILAN POSITION,Sophia MILAN LAP TIME,Sophia MILAN ELAPSED TIME,Christin PRIEBST POSITION,Christin PRIEBST LAP TIME,Christin PRIEBST ELAPSED TIME,Erika HUSZAR POSITION,Erika HUSZAR LAP TIME,Erika HUSZAR ELAPSED TIME,Katerina NOVOTNA POSITION,Katerina NOVOTNA LAP TIME,Katerina NOVOTNA ELAPSED TIME
0,9.307,9.307,0,8.968,8.968,0,8.991,8.991,0,,,0,3.407,3.407
0,11.975,21.282,0,12.123,21.091,0,11.959,20.950,0,,35.387,0,5.405,8.812
0,11.608,32.890,0,11.549,32.640,0,11.800,32.750,0,3.104,38.491,0,12.113,20.925
0,11.178,44.068,0,11.011,43.651,0,11.143,43.894,0,5.552,44.043,0,22.940,43.865
0,10.675,54.743,0,11.137,54.788,0,11.284,55.178,0,10.993,55.035,0,11.147,55.012
0,10.465,1:05.208,0,10.410,1:05.198,0,10.321,1:05.499,0,10.275,1:05.310,0,10.450,1:05.462
0,10.373,1:15.581,0,10.600,1:15.798,0,10.512,1:16.011,0,10.452,1:15.762,0,10.504,1:15.966
0,10.503,1:26.083,0,10.286,1:26.084,0,10.361,1:26.371,0,10.660,1:26.422,0,10.316,1:26.281
0,10.046,1:36.129,0,10.305,1:36.389,0,9.965,1:36.337,0,9.961,1:36.383,0,9.979,1:36.261
0,10.167,1:46.296,0,10.359,1:46.749,0,10.151,1:46.487,0,,,0,10.052,1:46.313
0,10.031,1:56.327,0,10.812,1:57.561,0,10.093,1:56.581,0,,1:56.079,0,9.947,1:56.260
0,10.007,2:06.333,0,11.508,2:09.069,0,10.127,2:06.707,0,10.657,2:06.736,0,10.184,2:06.444
0,10.255,2:16.588,0,12.105,2:21.173,0,10.283,2:16.990,0,10.841,2:17.577,0,10.151,2:16.595
0,10.323,2:26.911,0,12.638,2:33.811,0,,,0,9.401,2:26.978,0,10.363,2:26.958
