HWANG Dae Heon POSITION,HWANG Dae Heon LAP TIME,HWANG Dae Heon ELAPSED TIME,Paul BEAUCHAMP POSITION,Paul BEAUCHAMP LAP TIME,Paul BEAUCHAMP ELAPSED TIME,JUNG Hyun Woo (Andy) POSITION,JUNG Hyun Woo (Andy) LAP TIME,JUNG Hyun Woo (Andy) ELAPSED TIME,Hironobu MURATAKE POSITION,Hironobu MURATAKE LAP TIME,Hironobu MURATAKE ELAPSED TIME
2,11.64,11.64,3,11.94,11.94,1,11.46,11.46,4,12.20,12.20
2,8.38,20.02,3,8.38,20.32,1,8.46,19.92,4,8.55,20.75
1,8.33,28.35,3,8.42,28.74,2,8.44,28.36,4,8.44,29.19
1,8.46,36.81,3,8.59,37.33,2,8.78,37.14,4,8.61,37.80
1,8.50,45.31,2,8.94,46.27,3,9.26,46.40,4,8.76,46.56
1,8.62,53.93,3,9.52,55.79,4,10.42,56.82,2,9.22,55.78
1,8.78,1:02.71,3,9.88,1:05.67,4,12.60,1:09.42,2,9.39,1:05.17
1,8.98,1:11.69,3,10.43,1:16.10,4,15.21,1:24.63,2,10.01,1:15.18
1,9.18,1:20.87,3,11.10,1:27.195,4,15.60,1:40.220,2,10.88,1:26.06
