Aika KLEIN POSITION,Aika KLEIN LAP TIME,Aika KLEIN ELAPSED TIME,WANG Meng POSITION,WANG Meng LAP TIME,WANG Meng ELAPSED TIME,Joanna WILLIAMS POSITION,Joanna WILLIAMS LAP TIME,Joanna WILLIAMS ELAPSED TIME,Anne MALTAIS POSITION,Anne MALTAIS LAP TIME,Anne MALTAIS ELAPSED TIME,Francesca JACKSON POSITION,Francesca JACKSON LAP TIME,Francesca JACKSON ELAPSED TIME,Gergana PATSOVA POSITION,Gergana PATSOVA LAP TIME,Gergana PATSOVA ELAPSED TIME
1,9.664,9.664,5,10.263,10.263,2,9.798,9.798,3,9.857,9.857,4,10.178,10.178,6,10.298,10.298
3,14.609,24.272,4,14.174,24.436,2,14.372,24.170,1,14.163,24.019,5,14.348,24.525,6,14.332,24.630
3,13.454,37.725,4,13.397,37.833,1,13.491,37.660,2,13.689,37.707,5,13.489,38.014,6,13.734,38.363
2,13.446,51.171,5,13.590,51.423,1,13.373,51.033,3,13.480,51.187,4,13.380,51.394,6,13.112,51.474
1,11.760,1:02.930,5,11.982,1:03.404,2,11.950,1:02.982,4,12.134,1:03.320,3,11.895,1:03.289,6,12.129,1:03.603
3,11.675,1:14.604,2,11.174,1:14.577,1,11.520,1:14.501,4,11.537,1:14.856,6,11.606,1:14.894,5,11.281,1:14.883
4,11.187,1:25.790,1,10.675,1:25.252,2,10.967,1:25.468,3,10.670,1:25.526,6,11.115,1:26.009,5,11.000,1:25.882
5,10.387,1:36.177,1,10.697,1:35.948,3,10.649,1:36.117,2,10.525,1:36.050,6,10.757,1:36.765,4,10.286,1:36.168
3,10.581,1:46.758,1,10.414,1:46.362,2,10.484,1:46.601,4,10.755,1:46.804,6,10.733,1:47.498,5,10.820,1:46.988
3,10.535,1:57.292,1,10.701,1:57.063,2,10.629,1:57.229,4,10.504,1:57.307,6,11.316,1:58.814,5,10.679,1:57.667
3,10.030,2:07.322,1,9.546,2:06.608,2,9.633,2:06.862,4,10.313,2:07.620,6,11.765,2:10.579,5,10.485,2:08.151
3,9.732,2:17.053,1,9.672,2:16.280,2,9.980,2:16.841,4,10.528,2:18.147,6,12.323,2:22.901,5,11.064,2:19.215
3,9.930,2:26.983,1,10.023,2:26.302,2,10.050,2:26.891,4,11.031,2:29.177,6,12.842,2:35.743,5,11.309,2:30.523
2,10.75,2:37.729,1,10.83,2:37.127,3,10.90,2:37.784,4,11.34,2:40.511,6,13.39,2:49.127,5,12.07,2:42.593
