Vincent JEANNE POSITION,Vincent JEANNE LAP TIME,Vincent JEANNE ELAPSED TIME,Einar AGDESTEIN POSITION,Einar AGDESTEIN LAP TIME,Einar AGDESTEIN ELAPSED TIME,Paul STANLEY POSITION,Paul STANLEY LAP TIME,Paul STANLEY ELAPSED TIME,Roger VALLVERDU IMBERNON POSITION,Roger VALLVERDU IMBERNON LAP TIME,Roger VALLVERDU IMBERNON ELAPSED TIME
2,7.22,7.22,3,7.45,7.45,1,7.03,7.03,4,7.56,7.56
2,9.18,16.40,3,9.63,17.08,1,9.28,16.31,4,9.80,17.36
2,8.82,25.22,3,9.24,26.32,1,8.83,25.14,4,9.57,26.93
1,8.82,34.04,3,9.40,35.72,2,9.11,34.25,4,10.12,37.05
1,8.98,43.011,3,9.52,45.237,2,9.27,43.515,4,10.24,47.287
