Guillaume BASTILLE POSITION,Guillaume BASTILLE LAP TIME,Guillaume BASTILLE ELAPSED TIME,Charles Ryan LEVEILLE POSITION,Charles Ryan LEVEILLE LAP TIME,Charles Ryan LEVEILLE ELAPSED TIME,Shinichi TAGAMI POSITION,Shinichi TAGAMI LAP TIME,Shinichi TAGAMI ELAPSED TIME,Anton SIMON POSITION,Anton SIMON LAP TIME,Anton SIMON ELAPSED TIME
2,13.147,13.147,1,13.111,13.111,3,13.161,13.161,4,13.580,13.580
1,9.969,23.115,3,10.143,23.254,2,9.976,23.137,4,9.949,23.529
0,,,2,9.885,33.138,1,9.893,33.031,3,9.910,33.439
1,,42.145,3,9.361,42.499,2,9.409,42.439,4,9.320,42.759
1,9.298,51.443,2,9.093,51.592,3,9.387,51.826,4,9.420,52.179
4,22.473,1:13.916,1,8.953,1:00.545,2,9.380,1:01.206,3,9.408,1:01.587
4,23.671,1:37.587,1,9.281,1:09.826,2,9.487,1:10.693,3,9.944,1:11.531
4,14.343,1:51.930,1,9.482,1:19.308,2,9.544,1:20.238,3,10.494,1:22.025
4,14.140,2:06.070,1,10.397,1:29.705,2,10.866,1:31.104,3,10.992,1:33.017
