Reinis BERZINS POSITION,Reinis BERZINS LAP TIME,Reinis BERZINS ELAPSED TIME,LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME,SITNIKOV Pavel POSITION,SITNIKOV Pavel LAP TIME,SITNIKOV Pavel ELAPSED TIME,KOLENC Martin POSITION,KOLENC Martin LAP TIME,KOLENC Martin ELAPSED TIME
3,7.30,7.30,2,7.15,7.15,1,6.92,6.92,4,7.41,7.41
3,9.11,16.41,2,8.92,16.07,1,9.01,15.93,4,9.25,16.66
3,8.82,25.23,2,8.49,24.56,1,8.54,24.47,4,8.72,25.38
4,9.54,34.77,1,8.57,33.13,2,8.77,33.24,3,8.86,34.24
4,11.18,45.95,1,8.77,41.90,2,8.74,41.98,3,8.94,43.18
