KOREA POSITION,KOREA LAP TIME,KOREA ELAPSED TIME,UNITED STATES POSITION,UNITED STATES LAP TIME,UNITED STATES ELAPSED TIME,BULGARIA POSITION,BULGARIA LAP TIME,BULGARIA ELAPSED TIME,RUSSIA POSITION,RUSSIA LAP TIME,RUSSIA ELAPSED TIME
1,9.510,3:04.660,3,9.910,3:06.150,4,9.300,3:06.550,2,9.840,3:05.970
1,9.520,3:14.190,2,9.400,3:15.550,4,9.520,3:16.070,3,9.680,3:15.660
1,9.350,3:23.540,3,9.940,3:25.500,4,9.910,3:25.980,2,9.760,3:25.420
1,9.720,3:33.260,3,10.230,3:35.740,4,9.920,3:35.910,2,10.190,3:35.610
1,9.870,3:43.130,3,9.660,3:45.400,4,9.920,3:45.830,2,9.770,3:45.390
1,9.420,3:52.560,3,9.850,3:55.260,4,9.780,3:55.610,2,9.780,3:55.170
1,9.620,4:02.190,2,9.470,4:04.730,4,9.490,4:05.110,3,9.690,4:04.870
1,9.970,4:12.170,2,9.460,4:14.190,4,9.380,4:14.490,3,9.350,4:14.220
1,10.040,4:22.210,2,9.570,4:23.760,4,9.490,4:23.980,3,9.650,4:23.880
0,,,0,,,0,,,0,,
0,,,0,,,0,,,0,,
0,,,0,,,0,,,0,,
0,,,0,,,0,,,0,,
0,,,0,,,0,,,0,,
0,,,0,,,0,,,0,,
0,,,0,,,0,,,0,,
0,,,0,,,0,,,0,,
0,,,0,,,0,,,0,,
0,,,0,,,0,,,0,,
0,,,0,,,0,,,0,,
0,,,0,,,0,,,0,,
0,,,0,,,0,,,0,,
0,,,0,,,0,,,0,,
0,,,0,,,0,,,0,,
0,,,0,,,0,,,0,,
0,,,0,,,0,,,0,,
0,,,0,,,0,,,0,,
