Hannes KROEGER POSITION,Hannes KROEGER LAP TIME,Hannes KROEGER ELAPSED TIME,Serhiy LIFYRENKO POSITION,Serhiy LIFYRENKO LAP TIME,Serhiy LIFYRENKO ELAPSED TIME,Ian UPCOTT POSITION,Ian UPCOTT LAP TIME,Ian UPCOTT ELAPSED TIME,Rinat MAZHENOV POSITION,Rinat MAZHENOV LAP TIME,Rinat MAZHENOV ELAPSED TIME
1,13.44,13.44,3,13.67,13.67,4,13.78,13.78,2,13.55,13.55
1,10.17,23.61,4,10.26,23.93,2,9.91,23.69,3,10.24,23.79
1,9.92,33.53,4,9.92,33.85,2,9.93,33.62,3,9.97,33.76
1,9.76,43.29,4,9.69,43.54,2,9.67,43.29,3,9.68,43.44
2,9.69,52.98,4,9.63,53.17,1,9.58,52.87,3,9.63,53.07
1,9.49,1:02.47,4,9.51,1:02.68,3,9.75,1:02.62,2,9.53,1:02.60
1,9.55,1:12.02,2,9.45,1:12.13,4,9.70,1:12.32,3,9.61,1:12.21
1,9.44,1:21.46,2,9.50,1:21.63,3,9.47,1:21.79,4,9.65,1:21.86
1,9.60,1:31.056,2,9.51,1:31.133,3,9.45,1:31.234,4,10.11,1:31.970
