Anna SEIDEL POSITION,Anna SEIDEL LAP TIME,Anna SEIDEL ELAPSED TIME,SHIM Suk Hee POSITION,SHIM Suk Hee LAP TIME,SHIM Suk Hee ELAPSED TIME,SCHULTING Suzanne POSITION,SCHULTING Suzanne LAP TIME,SCHULTING Suzanne ELAPSED TIME,Jessica KOOREMAN POSITION,Jessica KOOREMAN LAP TIME,Jessica KOOREMAN ELAPSED TIME,Kim BOUTIN POSITION,Kim BOUTIN LAP TIME,Kim BOUTIN ELAPSED TIME,Valerie MALTAIS POSITION,Valerie MALTAIS LAP TIME,Valerie MALTAIS ELAPSED TIME
3,9.55,9.55,6,9.92,9.92,2,9.47,9.47,5,9.73,9.73,4,9.61,9.61,1,9.39,9.39
4,13.75,23.30,6,13.70,23.62,1,13.54,23.01,1,13.28,23.01,5,13.89,23.50,3,13.74,23.13
5,11.58,34.88,6,11.34,34.96,1,11.42,34.43,4,11.75,34.76,3,11.21,34.71,2,11.47,34.60
5,10.65,45.53,6,10.58,45.54,2,10.72,45.15,4,10.65,45.41,1,10.38,45.09,3,10.66,45.26
6,10.16,55.69,2,9.72,55.26,1,10.03,55.18,5,10.19,55.60,3,10.28,55.37,4,10.24,55.50
6,9.96,1:05.65,2,9.96,1:05.22,1,9.84,1:05.02,5,9.93,1:05.53,3,9.87,1:05.24,4,9.91,1:05.41
6,9.64,1:15.29,2,9.63,1:14.85,1,9.69,1:14.71,5,9.67,1:15.20,3,9.73,1:14.97,4,9.66,1:15.07
6,9.72,1:25.01,2,9.70,1:24.55,1,9.68,1:24.39,5,9.72,1:24.92,3,9.70,1:24.67,4,9.70,1:24.77
6,9.56,1:34.57,2,9.50,1:34.05,1,9.65,1:34.04,5,9.55,1:34.47,3,9.55,1:34.22,4,9.56,1:34.33
5,9.55,1:44.12,1,9.69,1:43.74,2,9.76,1:43.80,5,9.65,1:44.12,3,9.68,1:43.90,4,9.63,1:43.96
6,9.72,1:53.84,1,9.67,1:53.41,2,9.72,1:53.52,5,9.67,1:53.79,4,9.84,1:53.74,3,9.69,1:53.65
5,9.74,2:03.58,1,9.66,2:03.07,2,9.67,2:03.19,4,9.71,2:03.50,6,9.88,2:03.62,3,9.64,2:03.29
4,9.53,2:13.11,1,9.73,2:12.80,2,9.79,2:12.98,5,9.80,2:13.30,6,10.11,2:13.73,3,9.70,2:12.99
3,9.92,2:23.037,1,9.99,2:22.791,4,10.10,2:23.086,5,10.22,2:23.521,6,11.25,2:24.982,2,9.85,2:22.843
