Francois-Louis TREMBLAY POSITION,Francois-Louis TREMBLAY LAP TIME,Francois-Louis TREMBLAY ELAPSED TIME,Elliott SHRIANE POSITION,Elliott SHRIANE LAP TIME,Elliott SHRIANE ELAPSED TIME,Tyson HEUNG POSITION,Tyson HEUNG LAP TIME,Tyson HEUNG ELAPSED TIME,Bence BERES POSITION,Bence BERES LAP TIME,Bence BERES ELAPSED TIME,LEE Ho-Suk POSITION,LEE Ho-Suk LAP TIME,LEE Ho-Suk ELAPSED TIME
1,13.49,13.49,5,13.87,13.87,2,13.68,13.68,4,13.77,13.77,3,13.77,13.77
1,10.48,23.98,4,10.38,24.26,2,10.39,24.08,3,10.45,24.22,5,10.69,24.46
2,9.70,33.68,1,9.32,33.59,4,9.81,33.89,3,9.64,33.87,5,9.70,34.16
2,9.45,43.14,1,9.48,43.08,4,9.45,43.35,3,9.43,43.30,5,9.48,43.65
1,9.39,52.53,2,9.49,52.58,3,9.35,52.70,4,9.54,52.85,5,9.28,52.93
1,9.22,1:01.76,5,9.53,1:02.11,3,9.32,1:02.02,4,9.19,1:02.04,2,9.05,1:01.99
2,8.92,1:10.69,5,9.69,1:11.81,3,9.14,1:11.17,4,9.65,1:11.69,1,8.68,1:10.67
1,9.04,1:19.73,5,10.15,1:21.97,3,9.06,1:20.23,4,9.85,1:21.54,2,9.09,1:19.77
2,9.52,1:29.241,5,10.60,1:32.563,3,9.84,1:30.066,4,10.35,1:31.881,1,9.23,1:29.000
