Guillaume MATHIEU POSITION,Guillaume MATHIEU LAP TIME,Guillaume MATHIEU ELAPSED TIME,Michele ANTONIOLI POSITION,Michele ANTONIOLI LAP TIME,Michele ANTONIOLI ELAPSED TIME,SUI Bao Ku POSITION,SUI Bao Ku LAP TIME,SUI Bao Ku ELAPSED TIME,AHN Hyun-Soo POSITION,AHN Hyun-Soo LAP TIME,AHN Hyun-Soo ELAPSED TIME
3,16.984,16.984,2,16.881,16.881,1,16.659,16.659,4,17.107,17.107
2,11.679,28.663,4,11.999,28.879,1,11.980,28.638,3,11.706,28.813
2,10.006,38.669,4,10.080,38.959,3,10.166,38.804,1,9.774,38.587
2,9.613,48.281,4,9.484,48.442,3,9.514,48.318,1,9.612,48.199
3,9.482,57.762,4,9.380,57.822,2,9.337,57.655,1,9.404,57.602
1,8.832,1:06.594,4,9.211,1:07.033,3,9.222,1:06.876,2,9.157,1:06.759
3,9.337,1:15.931,4,9.336,1:16.368,1,8.991,1:15.867,2,9.130,1:15.889
4,19.441,1:35.371,2,9.442,1:25.810,3,10.311,1:26.178,1,9.276,1:25.164
4,0.14,1:35.511,3,9.70,1:35.501,1,8.85,1:35.022,2,9.88,1:35.038
