Danabek KHAIROV POSITION,Danabek KHAIROV LAP TIME,Danabek KHAIROV ELAPSED TIME,Dmytro POLTAVETS POSITION,Dmytro POLTAVETS LAP TIME,Dmytro POLTAVETS ELAPSED TIME,Asen YORDANOV POSITION,Asen YORDANOV LAP TIME,Asen YORDANOV ELAPSED TIME,Dustin MILLER POSITION,Dustin MILLER LAP TIME,Dustin MILLER ELAPSED TIME,Selim TANRIKULU POSITION,Selim TANRIKULU LAP TIME,Selim TANRIKULU ELAPSED TIME
3,9.99,9.99,2,9.85,9.85,5,10.22,10.22,1,9.81,9.81,4,9.99,9.99
2,14.10,24.09,1,14.15,24.00,5,14.17,24.39,4,14.43,24.24,3,14.23,24.22
2,13.08,37.17,1,13.06,37.06,5,13.24,37.63,4,13.23,37.47,3,13.07,37.29
4,12.21,49.38,2,12.03,49.09,1,11.40,49.03,5,12.12,49.59,3,11.96,49.25
2,11.02,1:00.40,1,11.25,1:00.34,3,11.42,1:00.45,5,11.06,1:00.65,4,11.26,1:00.51
2,11.30,1:11.70,1,11.22,1:11.56,5,16.60,1:17.05,4,11.54,1:12.19,3,11.26,1:11.77
3,11.03,1:22.73,1,10.87,1:22.43,5,11.70,1:28.75,4,10.64,1:22.83,2,10.80,1:22.57
3,10.38,1:33.11,1,10.50,1:32.93,5,10.15,1:38.90,4,10.45,1:33.28,2,10.37,1:32.94
3,10.13,1:43.24,2,10.23,1:43.16,5,10.21,1:49.11,4,10.06,1:43.34,1,10.14,1:43.08
3,10.93,1:54.17,2,10.89,1:54.05,5,10.48,1:59.59,4,11.00,1:54.34,1,10.83,1:53.91
3,10.22,2:04.39,2,10.22,2:04.27,5,10.51,2:10.10,4,10.13,2:04.47,1,10.26,2:04.17
3,9.79,2:14.18,4,9.94,2:14.21,5,10.52,2:20.62,1,9.68,2:14.15,2,10.00,2:14.17
3,10.03,2:24.21,2,9.87,2:24.08,5,10.99,2:31.61,1,9.85,2:24.00,4,10.28,2:24.45
0,,PEN,2,9.76,2:33.831,4,11.32,2:42.926,1,9.75,2:33.749,3,10.12,2:34.561
