HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,CHENG Eric I POSITION,CHENG Eric I LAP TIME,CHENG Eric I ELAPSED TIME,Nurbergen ZHUMAGAZIYEV POSITION,Nurbergen ZHUMAGAZIYEV LAP TIME,Nurbergen ZHUMAGAZIYEV ELAPSED TIME,Andriy KOZHUKH POSITION,Andriy KOZHUKH LAP TIME,Andriy KOZHUKH ELAPSED TIME
3,14.850,14.850,1,14.730,14.730,4,14.970,14.970,2,14.780,14.780
1,11.320,26.170,3,11.500,26.230,4,11.370,26.350,2,11.420,26.200
3,11.900,38.070,1,11.630,37.870,4,11.830,38.190,2,11.750,37.960
3,11.550,49.620,1,11.440,49.310,4,11.460,49.660,2,11.530,49.490
4,11.620,1:01.250,1,11.770,1:01.080,3,11.550,1:01.210,2,11.710,1:01.200
1,9.730,1:10.980,3,10.360,1:11.440,2,9.990,1:11.200,4,10.240,1:11.450
1,9.750,1:20.730,3,9.840,1:21.290,2,9.760,1:20.970,4,9.950,1:21.400
1,9.420,1:30.160,3,9.950,1:31.250,2,10.040,1:31.020,4,9.960,1:31.370
1,9.700,1:39.860,3,10.490,1:41.750,2,10.380,1:41.410,4,10.460,1:41.830
