Olivier JEAN POSITION,Olivier JEAN LAP TIME,Olivier JEAN ELAPSED TIME,Artem KHMELIVSKYI POSITION,Artem KHMELIVSKYI LAP TIME,Artem KHMELIVSKYI ELAPSED TIME,BLACKBURN Mackenzie POSITION,BLACKBURN Mackenzie LAP TIME,BLACKBURN Mackenzie ELAPSED TIME,Daniel ZETZSCHE POSITION,Daniel ZETZSCHE LAP TIME,Daniel ZETZSCHE ELAPSED TIME
1,13.98,13.98,4,14.30,14.30,3,14.13,14.13,2,14.11,14.11
1,10.66,24.64,4,10.69,24.99,3,10.70,24.83,2,10.64,24.75
1,10.44,35.08,4,10.41,35.40,3,10.44,35.27,2,10.43,35.18
2,9.95,45.03,4,9.97,45.37,3,9.88,45.15,1,9.73,44.91
1,9.48,54.51,4,9.48,54.85,2,9.48,54.63,3,9.72,54.63
1,9.22,1:03.73,4,9.41,1:04.26,2,9.16,1:03.79,3,9.32,1:03.95
1,9.21,1:12.94,4,9.37,1:13.63,2,9.27,1:13.06,3,9.26,1:13.21
1,9.01,1:21.95,4,9.64,1:23.27,2,8.98,1:22.04,3,9.15,1:22.36
4,21.02,1:42.968,3,9.96,1:33.221,1,9.40,1:31.436,2,9.46,1:31.811
