Guillaume BLAIS DUFOUR POSITION,Guillaume BLAIS DUFOUR LAP TIME,Guillaume BLAIS DUFOUR ELAPSED TIME,Anthony LOBELLO POSITION,Anthony LOBELLO LAP TIME,Anthony LOBELLO ELAPSED TIME,Oleksiy KOSHELENKO POSITION,Oleksiy KOSHELENKO LAP TIME,Oleksiy KOSHELENKO ELAPSED TIME
1,13.14,13.14,3,13.42,13.42,2,13.22,13.22
2,10.46,23.60,3,10.29,23.71,1,10.14,23.36
2,9.65,33.25,3,9.67,33.38,1,9.76,33.12
1,9.28,42.53,3,9.35,42.73,2,9.54,42.66
1,9.60,52.13,3,9.58,52.31,2,9.58,52.24
1,9.47,1:01.60,2,9.41,1:01.72,3,9.72,1:01.96
1,9.51,1:11.11,2,9.39,1:11.11,3,9.81,1:11.77
2,9.59,1:20.70,1,9.50,1:20.61,3,9.96,1:21.73
2,9.79,1:30.488,1,9.84,1:30.442,3,10.31,1:32.034
