Balazs KNOCH POSITION,Balazs KNOCH LAP TIME,Balazs KNOCH ELAPSED TIME,Apolo Anton OHNO POSITION,Apolo Anton OHNO LAP TIME,Apolo Anton OHNO ELAPSED TIME,Cees JUFFERMANS POSITION,Cees JUFFERMANS LAP TIME,Cees JUFFERMANS ELAPSED TIME,SUNG Si-Bak POSITION,SUNG Si-Bak LAP TIME,SUNG Si-Bak ELAPSED TIME
2,6.991,6.991,3,7.234,7.234,4,7.320,7.320,1,6.762,6.762
2,9.361,16.352,3,9.138,16.372,4,9.322,16.642,1,9.413,16.175
3,9.085,25.436,2,8.939,25.310,4,8.897,25.539,1,9.106,25.280
4,18.591,44.027,2,9.108,34.418,3,9.289,34.828,1,8.938,34.218
4,21.04,1:05.065,2,9.40,43.810,3,9.53,44.353,1,9.45,43.659
