Jessica KOOREMAN POSITION,Jessica KOOREMAN LAP TIME,Jessica KOOREMAN ELAPSED TIME,Raya ZAHARIEVA POSITION,Raya ZAHARIEVA LAP TIME,Raya ZAHARIEVA ELAPSED TIME,Ylenia TOTA POSITION,Ylenia TOTA LAP TIME,Ylenia TOTA ELAPSED TIME,ZAKHAROVA Evgeniya POSITION,ZAKHAROVA Evgeniya LAP TIME,ZAKHAROVA Evgeniya ELAPSED TIME,van KERKHOF Yara POSITION,van KERKHOF Yara LAP TIME,van KERKHOF Yara ELAPSED TIME,Jessica HEWITT POSITION,Jessica HEWITT LAP TIME,Jessica HEWITT ELAPSED TIME
1,9.24,9.24,3,9.35,9.35,4,9.46,9.46,2,9.29,9.29,6,9.65,9.65,5,9.56,9.56
4,13.13,22.37,5,13.08,22.43,3,12.87,22.33,1,12.81,22.10,2,12.58,22.23,6,12.95,22.51
5,12.88,35.25,4,12.63,35.06,3,12.62,34.95,1,12.60,34.70,2,12.59,34.82,6,12.81,35.32
5,12.66,47.91,4,12.64,47.70,3,12.63,47.58,1,12.65,47.35,2,12.66,47.48,6,12.70,48.02
5,12.26,1:00.17,4,12.30,1:00.00,3,12.31,59.89,1,12.31,59.66,2,12.31,59.79,6,12.25,1:00.27
5,11.75,1:11.92,4,11.91,1:11.91,3,11.89,1:11.78,2,11.95,1:11.61,1,11.82,1:11.61,6,11.76,1:12.03
1,10.11,1:22.03,6,10.54,1:22.45,5,10.47,1:22.25,4,10.51,1:22.12,2,10.45,1:22.06,3,10.08,1:22.11
2,9.88,1:31.91,6,9.94,1:32.39,5,9.96,1:32.21,4,9.95,1:32.07,3,9.94,1:32.00,1,9.73,1:31.84
2,9.69,1:41.60,6,9.98,1:42.37,5,10.01,1:42.22,4,9.77,1:41.84,3,9.70,1:41.70,1,9.63,1:41.47
2,9.75,1:51.35,6,10.11,1:52.48,5,10.18,1:52.40,4,9.82,1:51.66,3,9.75,1:51.45,1,9.80,1:51.27
2,9.86,2:01.21,6,10.51,2:02.99,5,10.50,2:02.90,4,9.88,2:01.54,3,9.87,2:01.32,1,9.83,2:01.10
2,9.98,2:11.19,6,10.91,2:13.90,5,10.97,2:13.87,4,10.09,2:11.63,3,9.97,2:11.29,1,10.02,2:11.12
2,10.20,2:21.39,6,11.33,2:25.23,5,11.18,2:25.05,4,10.53,2:22.16,3,10.30,2:21.59,1,10.19,2:21.31
1,10.14,2:31.523,5,11.18,2:36.407,6,11.68,2:36.723,4,10.92,2:33.076,3,10.43,2:32.013,2,10.40,2:31.710
