Bence BERES POSITION,Bence BERES LAP TIME,Bence BERES ELAPSED TIME,Serhiy LIFYRENKO POSITION,Serhiy LIFYRENKO LAP TIME,Serhiy LIFYRENKO ELAPSED TIME,LEE Ho-Suk POSITION,LEE Ho-Suk LAP TIME,LEE Ho-Suk ELAPSED TIME
2,7.16,7.16,1,7.04,7.04,3,7.19,7.19
2,9.17,16.33,1,9.13,16.17,3,9.16,16.36
3,18.32,34.66,2,10.48,26.65,1,9.22,25.58
2,13.19,47.85,3,21.51,48.16,1,9.00,34.59
2,11.98,59.823,0,,DQ,1,9.30,43.887
