Travis JAYNER POSITION,Travis JAYNER LAP TIME,Travis JAYNER ELAPSED TIME,Francois HAMELIN POSITION,Francois HAMELIN LAP TIME,Francois HAMELIN ELAPSED TIME,Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME,GONG Qiuwen POSITION,GONG Qiuwen LAP TIME,GONG Qiuwen ELAPSED TIME
2,6.81,6.81,1,6.79,6.79,4,7.23,7.23,3,6.98,6.98
2,9.18,15.99,1,9.11,15.90,4,9.06,16.29,3,9.09,16.07
4,17.86,33.85,3,17.56,33.46,2,8.90,25.19,1,9.04,25.11
4,17.27,51.12,3,17.26,50.72,2,9.46,34.65,1,9.41,34.52
3,11.79,1:02.908,2,11.57,1:02.287,1,9.35,43.991,0,,PEN
