KWAK Yoon-Gy POSITION,KWAK Yoon-Gy LAP TIME,KWAK Yoon-Gy ELAPSED TIME,Michael GILDAY POSITION,Michael GILDAY LAP TIME,Michael GILDAY ELAPSED TIME,NOH Jinkyu POSITION,NOH Jinkyu LAP TIME,NOH Jinkyu ELAPSED TIME,Viktor KNOCH POSITION,Viktor KNOCH LAP TIME,Viktor KNOCH ELAPSED TIME
3,14.37,14.37,1,14.13,14.13,2,14.26,14.26,4,14.46,14.46
3,10.92,25.29,1,10.94,25.07,2,10.93,25.19,4,10.92,25.38
3,10.26,35.55,1,10.23,35.30,2,10.24,35.43,4,10.26,35.64
3,9.68,45.23,1,9.67,44.97,2,9.67,45.10,4,9.68,45.32
3,9.10,54.33,2,9.35,54.32,1,9.08,54.18,4,9.19,54.51
2,8.87,1:03.20,3,8.97,1:03.29,1,8.91,1:03.09,4,8.88,1:03.39
2,8.97,1:12.17,3,8.99,1:12.28,1,8.88,1:11.97,4,8.99,1:12.38
4,9.90,1:22.07,3,9.34,1:21.62,1,8.93,1:20.90,2,9.01,1:21.39
3,13.05,1:35.111,0,,PEN,1,9.51,1:30.410,2,9.45,1:30.837
