CHEN Dequan POSITION,CHEN Dequan LAP TIME,CHEN Dequan ELAPSED TIME,Yuzo TAKAMIDO POSITION,Yuzo TAKAMIDO LAP TIME,Yuzo TAKAMIDO ELAPSED TIME,Yuma SAKURAI POSITION,Yuma SAKURAI LAP TIME,Yuma SAKURAI ELAPSED TIME,Liam McFARLANE POSITION,Liam McFARLANE LAP TIME,Liam McFARLANE ELAPSED TIME,Maxime CHATAIGNIER POSITION,Maxime CHATAIGNIER LAP TIME,Maxime CHATAIGNIER ELAPSED TIME,Chris CREVELING POSITION,Chris CREVELING LAP TIME,Chris CREVELING ELAPSED TIME
3,9.29,9.29,1,8.97,8.97,2,9.09,9.09,5,9.52,9.52,4,9.41,9.41,6,9.71,9.71
3,13.70,22.99,2,13.81,22.78,1,13.65,22.74,5,13.76,23.28,4,13.72,23.13,6,13.74,23.45
3,12.65,35.64,2,12.66,35.44,1,12.70,35.44,5,12.65,35.93,4,12.65,35.78,6,12.76,36.21
4,12.17,47.81,1,12.14,47.58,2,12.24,47.68,5,11.97,47.90,3,11.98,47.76,6,11.82,48.03
3,11.10,58.91,2,11.31,58.89,1,11.11,58.79,5,11.25,59.15,4,11.21,58.97,6,11.29,59.32
4,10.63,1:09.54,1,10.47,1:09.36,2,10.62,1:09.41,5,10.51,1:09.66,3,10.57,1:09.54,6,10.45,1:09.77
4,10.06,1:19.60,1,9.89,1:19.25,2,9.95,1:19.36,5,10.06,1:19.72,3,9.95,1:19.49,6,10.07,1:19.84
4,9.74,1:29.34,2,9.79,1:29.04,1,9.66,1:29.02,5,9.75,1:29.47,3,9.73,1:29.22,6,9.68,1:29.52
4,9.31,1:38.65,1,9.34,1:38.38,3,9.44,1:38.46,6,9.34,1:38.81,2,9.23,1:38.45,5,9.16,1:38.68
4,9.26,1:47.91,1,9.17,1:47.55,5,9.71,1:48.17,3,8.96,1:47.77,2,9.18,1:47.63,6,9.67,1:48.35
4,9.19,1:57.10,1,9.27,1:56.82,5,9.05,1:57.22,3,9.24,1:57.01,2,9.27,1:56.90,6,9.05,1:57.40
4,9.27,2:06.37,1,9.24,2:06.06,5,9.23,2:06.45,3,9.21,2:06.22,2,9.23,2:06.13,6,9.09,2:06.49
4,9.17,2:15.54,2,9.25,2:15.31,5,9.27,2:15.72,3,9.19,2:15.41,1,9.17,2:15.30,6,9.35,2:15.84
3,9.20,2:24.731,4,9.45,2:24.755,5,9.23,2:24.941,2,9.19,2:24.598,1,9.22,2:24.519,6,9.34,2:25.174
