XU Hongzhi POSITION,XU Hongzhi LAP TIME,XU Hongzhi ELAPSED TIME,PARK Ji Won POSITION,PARK Ji Won LAP TIME,PARK Ji Won ELAPSED TIME,Artem DENISOV POSITION,Artem DENISOV LAP TIME,Artem DENISOV ELAPSED TIME,Alexander FATHOULLIN POSITION,Alexander FATHOULLIN LAP TIME,Alexander FATHOULLIN ELAPSED TIME
2,14.33,14.33,1,14.23,14.23,3,14.44,14.44,4,14.64,14.64
1,10.16,24.49,2,10.39,24.62,3,10.31,24.75,4,10.23,24.87
2,9.83,34.32,1,9.61,34.23,3,9.70,34.45,4,9.61,34.48
3,9.40,43.72,2,9.36,43.59,4,9.37,43.82,1,8.99,43.47
3,9.12,52.84,2,9.14,52.73,4,9.21,53.03,1,9.21,52.68
3,9.00,1:01.84,2,9.02,1:01.75,4,9.11,1:02.14,1,8.90,1:01.58
3,8.95,1:10.79,2,8.93,1:10.68,4,8.80,1:10.94,1,8.95,1:10.53
3,8.97,1:19.76,2,8.97,1:19.65,4,9.03,1:19.97,1,8.97,1:19.50
3,9.08,1:28.839,2,9.09,1:28.739,4,9.46,1:29.425,1,9.11,1:28.601
