NOH Jinkyu POSITION,NOH Jinkyu LAP TIME,NOH Jinkyu ELAPSED TIME,Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME,Ryosuke SAKAZUME POSITION,Ryosuke SAKAZUME LAP TIME,Ryosuke SAKAZUME ELAPSED TIME,J.R. CELSKI POSITION,J.R. CELSKI LAP TIME,J.R. CELSKI ELAPSED TIME
3,13.05,13.05,4,13.12,13.12,2,12.96,12.96,1,12.95,12.95
1,9.20,22.25,4,9.51,22.63,2,9.43,22.39,3,9.56,22.51
1,9.28,31.53,4,9.23,31.86,2,9.23,31.62,3,9.22,31.73
1,9.29,40.82,4,9.26,41.12,2,9.28,40.90,3,9.28,41.01
1,9.18,50.00,4,9.21,50.33,2,9.20,50.10,3,9.21,50.22
1,9.05,59.05,4,9.01,59.34,2,9.04,59.14,3,9.02,59.24
1,8.90,1:07.95,4,8.90,1:08.24,2,8.89,1:08.03,3,8.88,1:08.12
1,8.86,1:16.81,4,8.79,1:17.03,3,8.91,1:16.94,2,8.78,1:16.90
1,8.90,1:25.702,3,8.92,1:25.944,4,9.42,1:26.358,2,8.91,1:25.803
