Keith CARROLL POSITION,Keith CARROLL LAP TIME,Keith CARROLL ELAPSED TIME,Ryosuke SAKAZUME POSITION,Ryosuke SAKAZUME LAP TIME,Ryosuke SAKAZUME ELAPSED TIME,SCHUBERT Christoph POSITION,SCHUBERT Christoph LAP TIME,SCHUBERT Christoph ELAPSED TIME,de Vin WONG POSITION,de Vin WONG LAP TIME,de Vin WONG ELAPSED TIME
1,6.95,6.95,2,7.17,7.17,3,7.57,7.57,4,7.76,7.76
1,9.27,16.22,2,9.17,16.34,3,9.25,16.82,4,9.82,17.58
1,8.82,25.04,2,8.80,25.14,3,8.72,25.54,4,9.60,27.18
1,9.00,34.04,2,8.98,34.12,3,8.75,34.29,4,9.88,37.06
4,24.16,58.131,1,9.26,43.358,2,9.23,43.493,3,10.43,47.474
