Sebastian PRAUS POSITION,Sebastian PRAUS LAP TIME,Sebastian PRAUS ELAPSED TIME,Dries CELIS POSITION,Dries CELIS LAP TIME,Dries CELIS ELAPSED TIME,Jarmil HRUZA POSITION,Jarmil HRUZA LAP TIME,Jarmil HRUZA ELAPSED TIME
3,7.190,7.190,1,6.885,6.885,2,7.129,7.129
3,9.587,16.776,1,9.457,16.341,2,9.549,16.678
2,9.166,25.942,1,9.287,25.628,3,9.345,26.022
2,9.195,35.136,1,9.495,35.123,3,9.502,35.523
1,9.62,44.752,2,9.82,44.936,3,9.63,45.152
