Julia RIEDEL POSITION,Julia RIEDEL LAP TIME,Julia RIEDEL ELAPSED TIME,Jessica KOOREMAN POSITION,Jessica KOOREMAN LAP TIME,Jessica KOOREMAN ELAPSED TIME,Xeniya MOTOVA POSITION,Xeniya MOTOVA LAP TIME,Xeniya MOTOVA ELAPSED TIME,ZHOU Yang POSITION,ZHOU Yang LAP TIME,ZHOU Yang ELAPSED TIME,Aida BELLA POSITION,Aida BELLA LAP TIME,Aida BELLA ELAPSED TIME
2,10.95,10.95,4,11.16,11.16,1,10.83,10.83,5,11.35,11.35,3,11.04,11.04
2,17.85,28.80,4,17.90,29.06,1,17.84,28.67,5,17.95,29.30,3,17.95,28.99
1,17.24,46.04,5,17.37,46.43,3,17.51,46.18,4,17.04,46.34,2,17.18,46.17
3,12.04,58.08,1,11.36,57.79,5,12.10,58.28,2,11.62,57.96,4,11.99,58.16
3,11.69,1:09.77,1,11.75,1:09.54,5,11.68,1:09.96,2,11.74,1:09.70,4,11.70,1:09.86
4,12.13,1:21.90,1,12.10,1:21.64,2,11.74,1:21.70,3,12.06,1:21.76,5,12.12,1:21.98
4,10.70,1:32.60,2,10.78,1:32.42,1,10.56,1:32.26,3,10.78,1:32.54,5,10.71,1:32.69
2,10.24,1:42.84,3,10.50,1:42.92,1,10.51,1:42.77,4,10.47,1:43.01,5,10.33,1:43.02
1,9.64,1:52.48,3,9.74,1:52.66,2,9.84,1:52.61,4,9.82,1:52.83,5,9.91,1:52.93
1,9.72,2:02.20,2,9.65,2:02.31,3,9.77,2:02.38,4,9.73,2:02.56,5,9.74,2:02.67
1,9.80,2:12.00,2,9.75,2:12.06,3,9.79,2:12.17,4,9.75,2:12.31,5,9.90,2:12.57
3,9.95,2:21.95,1,9.69,2:21.75,4,9.82,2:21.99,2,9.46,2:21.77,5,10.50,2:23.07
3,9.93,2:31.88,2,9.65,2:31.40,4,10.23,2:32.22,1,9.37,2:31.14,5,11.34,2:34.41
3,10.32,2:42.196,2,9.91,2:41.310,4,10.46,2:42.673,1,9.57,2:40.703,5,12.20,2:46.604
