PIERRON Veronique POSITION,PIERRON Veronique LAP TIME,PIERRON Veronique ELAPSED TIME,KIM Ji Yoo POSITION,KIM Ji Yoo LAP TIME,KIM Ji Yoo ELAPSED TIME,Anastassiya KRESTOVA POSITION,Anastassiya KRESTOVA LAP TIME,Anastassiya KRESTOVA ELAPSED TIME,KIKUCHI Yuki POSITION,KIKUCHI Yuki LAP TIME,KIKUCHI Yuki ELAPSED TIME,SANTOS Kristen POSITION,SANTOS Kristen LAP TIME,SANTOS Kristen ELAPSED TIME
3,13.41,13.41,4,13.51,13.51,1,13.31,13.31,2,13.36,13.36,5,13.58,13.58
3,10.02,23.43,4,10.07,23.58,2,10.02,23.33,1,9.84,23.20,5,10.04,23.62
2,9.56,32.99,5,9.60,33.18,3,9.77,33.10,1,9.69,32.89,4,9.49,33.11
2,9.47,42.46,5,9.54,42.72,4,9.45,42.55,1,9.49,42.38,3,9.39,42.50
1,9.26,51.72,5,9.35,52.07,3,9.30,51.85,2,9.41,51.79,4,9.45,51.95
1,9.47,1:01.19,5,9.42,1:01.49,3,9.49,1:01.34,2,9.48,1:01.27,4,9.50,1:01.45
1,9.57,1:10.76,4,9.52,1:11.01,3,9.60,1:10.94,2,9.59,1:10.86,5,9.68,1:11.13
1,9.65,1:20.41,3,9.57,1:20.58,4,9.66,1:20.60,2,9.67,1:20.53,5,9.70,1:20.83
1,9.85,1:30.26,3,9.94,1:30.529,4,10.11,1:30.714,2,9.82,1:30.35,5,10.26,1:31.095
