MURPHY Peter POSITION,MURPHY Peter LAP TIME,MURPHY Peter ELAPSED TIME,SHAMUKHANOV Yerkebulan POSITION,SHAMUKHANOV Yerkebulan LAP TIME,SHAMUKHANOV Yerkebulan ELAPSED TIME,LEE June Seo POSITION,LEE June Seo LAP TIME,LEE June Seo ELAPSED TIME,HONG Kyung Hwan POSITION,HONG Kyung Hwan LAP TIME,HONG Kyung Hwan ELAPSED TIME,YU Songnan POSITION,YU Songnan LAP TIME,YU Songnan ELAPSED TIME,Mateusz KRZEMINSKI POSITION,Mateusz KRZEMINSKI LAP TIME,Mateusz KRZEMINSKI ELAPSED TIME
2,9.54,9.54,6,9.91,9.91,5,9.75,9.75,3,9.55,9.55,1,9.53,9.53,4,9.72,9.72
1,11.82,21.36,6,12.15,22.06,3,11.86,21.61,4,12.21,21.76,2,11.95,21.48,5,12.06,21.78
1,10.87,32.23,6,10.62,32.68,4,10.86,32.47,5,10.81,32.57,3,10.87,32.35,2,10.52,32.30
2,10.41,42.64,6,10.56,43.24,4,10.43,42.90,5,10.45,43.02,3,10.43,42.78,1,10.25,42.55
2,10.02,52.66,6,9.86,53.10,4,9.90,52.80,5,9.88,52.90,3,10.01,52.79,1,10.01,52.56
4,9.73,1:02.39,5,9.34,1:02.44,1,9.23,1:02.03,2,9.21,1:02.11,6,9.71,1:02.50,3,9.71,1:02.27
6,9.62,1:12.01,3,9.24,1:11.68,1,9.43,1:11.46,2,9.45,1:11.56,5,9.50,1:12.00,4,9.60,1:11.87
6,9.44,1:21.45,3,9.10,1:20.78,2,9.15,1:20.61,1,8.97,1:20.53,4,9.13,1:21.13,5,9.33,1:21.20
6,9.20,1:30.65,3,9.07,1:29.85,2,9.11,1:29.72,1,9.10,1:29.63,4,8.88,1:30.01,5,9.33,1:30.53
5,9.29,1:39.94,3,9.11,1:38.96,2,9.12,1:38.84,1,9.14,1:38.77,4,9.06,1:39.07,6,9.64,1:40.17
5,9.51,1:49.45,3,9.26,1:48.22,2,9.20,1:48.04,1,9.15,1:47.92,4,9.29,1:48.36,6,9.94,1:50.11
5,9.85,1:59.30,4,10.49,1:58.71,2,9.05,1:57.09,1,9.09,1:57.01,3,9.21,1:57.57,6,10.42,2:00.53
5,10.19,2:09.49,4,10.41,2:09.12,2,9.27,2:06.36,1,9.26,2:06.27,3,9.48,2:07.05,6,10.78,2:11.31
5,10.30,2:19.79,4,10.43,2:19.55,2,9.69,2:16.05,1,9.64,2:15.91,3,9.86,2:16.91,6,11.19,2:22.50
