Victor AN POSITION,Victor AN LAP TIME,Victor AN ELAPSED TIME,Olivier JEAN POSITION,Olivier JEAN LAP TIME,Olivier JEAN ELAPSED TIME,Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME,LUI Pan To Barton POSITION,LUI Pan To Barton LAP TIME,LUI Pan To Barton ELAPSED TIME
2,6.95,6.95,1,6.85,6.85,3,7.08,7.08,4,7.19,7.19
2,8.90,15.85,1,8.88,15.73,3,8.87,15.95,4,8.92,16.11
2,8.30,24.15,1,8.33,24.06,3,8.31,24.26,4,8.37,24.48
1,8.24,32.39,2,8.45,32.51,3,8.39,32.65,4,8.49,32.97
1,8.43,40.812,3,8.46,40.967,2,8.32,40.965,4,8.62,41.587
