Allison BAVER POSITION,Allison BAVER LAP TIME,Allison BAVER ELAPSED TIME,Bernadett HEIDUM POSITION,Bernadett HEIDUM LAP TIME,Bernadett HEIDUM ELAPSED TIME,Alex STANLEY POSITION,Alex STANLEY LAP TIME,Alex STANLEY ELAPSED TIME,Patrycja MALISZEWSKA POSITION,Patrycja MALISZEWSKA LAP TIME,Patrycja MALISZEWSKA ELAPSED TIME,Xeniya MOTOVA POSITION,Xeniya MOTOVA LAP TIME,Xeniya MOTOVA ELAPSED TIME
5,10.17,10.17,2,9.77,9.77,4,10.12,10.12,3,10.01,10.01,1,9.64,9.64
4,12.29,22.46,2,12.43,22.20,3,12.31,22.43,5,12.51,22.52,1,12.35,21.99
5,12.42,34.88,2,12.34,34.54,3,12.32,34.75,4,12.33,34.85,1,12.53,34.52
4,12.79,47.67,2,12.88,47.42,3,12.89,47.64,5,12.86,47.71,1,12.84,47.36
3,12.80,1:00.47,2,13.05,1:00.47,5,12.99,1:00.63,4,12.89,1:00.60,1,12.87,1:00.23
1,11.36,1:11.83,2,11.45,1:11.92,5,11.74,1:12.37,3,11.44,1:12.04,4,12.14,1:12.37
3,11.33,1:23.16,2,11.19,1:23.11,1,10.53,1:22.90,4,11.22,1:23.26,5,11.15,1:23.52
3,10.68,1:33.84,4,10.88,1:33.99,1,10.81,1:33.71,2,10.55,1:33.81,5,10.57,1:34.09
3,10.61,1:44.45,1,10.27,1:44.26,4,10.76,1:44.47,2,10.49,1:44.30,5,10.70,1:44.79
2,10.36,1:54.81,1,10.21,1:54.47,4,10.37,1:54.84,3,10.52,1:54.82,5,10.21,1:55.00
2,10.00,2:04.81,1,10.06,2:04.53,4,10.09,2:04.93,3,10.02,2:04.84,5,10.24,2:05.24
2,9.90,2:14.71,1,10.06,2:14.59,4,9.99,2:14.92,3,9.99,2:14.83,5,10.19,2:15.43
2,10.11,2:24.82,1,10.13,2:24.72,4,10.35,2:25.27,3,10.33,2:25.16,5,9.92,2:25.35
1,10.49,2:35.302,2,10.68,2:35.395,4,10.53,2:35.797,3,10.58,2:35.739,5,10.58,2:35.923
