Bernadett HEIDUM POSITION,Bernadett HEIDUM LAP TIME,Bernadett HEIDUM ELAPSED TIME,Anna ROMANOWICZ POSITION,Anna ROMANOWICZ LAP TIME,Anna ROMANOWICZ ELAPSED TIME,Yui SAKAI POSITION,Yui SAKAI LAP TIME,Yui SAKAI ELAPSED TIME
1,13.90,13.90,2,13.99,13.99,3,14.08,14.08
2,10.69,24.59,3,10.71,24.70,1,10.42,24.50
2,10.61,35.20,3,10.61,35.31,1,10.61,35.11
2,10.93,46.13,3,10.94,46.25,1,10.89,46.00
2,10.78,56.91,3,10.79,57.04,1,10.81,56.81
2,10.19,1:07.10,3,10.21,1:07.25,1,10.19,1:07.00
2,9.84,1:16.94,3,9.84,1:17.09,1,9.86,1:16.86
1,9.86,1:26.80,3,10.04,1:27.13,2,9.97,1:26.83
1,9.95,1:36.750,3,10.36,1:37.490,2,10.05,1:36.872
