KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,SUNG Si-Bak POSITION,SUNG Si-Bak LAP TIME,SUNG Si-Bak ELAPSED TIME,YU Yongjun POSITION,YU Yongjun LAP TIME,YU Yongjun ELAPSED TIME,Blake SKJELLERUP POSITION,Blake SKJELLERUP LAP TIME,Blake SKJELLERUP ELAPSED TIME
3,12.78,12.78,4,13.01,13.01,2,12.74,12.74,1,12.68,12.68
3,9.94,22.72,4,9.81,22.82,1,9.80,22.54,2,9.94,22.62
3,10.02,32.74,4,10.02,32.84,1,10.08,32.62,2,10.12,32.74
2,9.49,42.23,3,9.41,42.25,1,9.43,42.05,4,9.79,42.53
3,9.33,51.56,2,9.22,51.47,1,9.33,51.38,4,9.44,51.97
3,9.50,1:01.06,1,9.39,1:00.86,2,9.59,1:00.97,4,9.29,1:01.26
3,9.27,1:10.33,1,9.25,1:10.11,2,9.25,1:10.22,4,9.50,1:10.76
2,9.34,1:19.67,1,9.06,1:19.17,3,9.82,1:20.04,4,9.81,1:20.57
2,9.76,1:29.422,1,9.63,1:28.797,3,10.41,1:30.445,4,10.18,1:30.742
