Ondrej SUCHY POSITION,Ondrej SUCHY LAP TIME,Ondrej SUCHY ELAPSED TIME,Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME,Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,Edin BRANKOVIC POSITION,Edin BRANKOVIC LAP TIME,Edin BRANKOVIC ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,Blake SKJELLERUP POSITION,Blake SKJELLERUP LAP TIME,Blake SKJELLERUP ELAPSED TIME
2,8.70,8.70,3,8.71,8.71,1,8.41,8.41,5,8.98,8.98,6,8.98,8.98,4,8.91,8.91
3,12.98,21.68,2,12.63,21.35,1,12.94,21.35,4,12.70,21.69,5,12.78,21.76,6,13.05,21.96
3,11.77,33.46,1,11.82,33.17,2,11.90,33.25,4,11.85,33.54,5,11.88,33.65,6,11.76,33.73
5,11.20,44.67,3,11.33,44.50,2,11.17,44.43,6,11.18,44.73,4,10.99,44.64,1,10.57,44.30
2,9.59,54.27,5,10.06,54.56,3,9.90,54.33,6,9.97,54.70,4,9.84,54.49,1,9.91,54.21
1,9.78,1:04.05,4,9.77,1:04.34,3,9.92,1:04.25,6,9.92,1:04.63,5,9.90,1:04.39,2,9.89,1:04.10
2,10.09,1:14.15,5,10.16,1:14.50,4,10.05,1:14.31,6,10.03,1:14.66,3,9.90,1:14.29,1,9.84,1:13.94
4,10.02,1:24.17,3,9.66,1:24.16,2,9.83,1:24.14,6,9.80,1:24.46,5,9.99,1:24.28,1,10.00,1:23.95
5,9.77,1:33.94,2,9.41,1:33.57,3,9.56,1:33.70,6,9.62,1:34.09,4,9.44,1:33.73,1,9.47,1:33.42
5,9.46,1:43.41,2,9.32,1:42.90,4,9.31,1:43.02,6,9.57,1:43.66,3,9.18,1:42.92,1,9.28,1:42.71
5,9.36,1:52.77,4,9.38,1:52.28,3,9.25,1:52.27,6,9.76,1:53.42,2,9.33,1:52.25,1,9.31,1:52.02
5,9.27,2:02.05,4,9.45,2:01.73,2,9.33,2:01.61,6,10.48,2:03.90,1,9.31,2:01.56,3,9.62,2:01.64
5,10.25,2:12.30,4,9.70,2:11.44,1,9.30,2:10.91,6,10.51,2:14.41,3,9.66,2:11.22,2,9.54,2:11.19
5,10.52,2:22.818,3,9.73,2:21.169,1,9.83,2:20.732,6,11.11,2:25.516,2,9.57,2:20.783,4,10.11,2:21.291
