FAN Kexin POSITION,FAN Kexin LAP TIME,FAN Kexin ELAPSED TIME,van KERKHOF Yara POSITION,van KERKHOF Yara LAP TIME,van KERKHOF Yara ELAPSED TIME,Jamie MACDONALD POSITION,Jamie MACDONALD LAP TIME,Jamie MACDONALD ELAPSED TIME,Petra JASZAPATI POSITION,Petra JASZAPATI LAP TIME,Petra JASZAPATI ELAPSED TIME,Magdalena WARAKOMSKA POSITION,Magdalena WARAKOMSKA LAP TIME,Magdalena WARAKOMSKA ELAPSED TIME,THOMSON Kathryn POSITION,THOMSON Kathryn LAP TIME,THOMSON Kathryn ELAPSED TIME
1,7.27,7.27,2,7.38,7.38,4,7.64,7.64,6,7.91,7.91,3,7.48,7.48,5,7.76,7.76
1,9.43,16.70,2,9.44,16.82,4,9.41,17.05,6,9.57,17.48,3,9.43,16.91,5,9.45,17.21
1,8.83,25.53,2,8.78,25.60,3,8.72,25.77,6,8.77,26.25,4,8.87,25.78,5,8.78,25.99
1,8.96,34.49,2,8.96,34.56,3,8.88,34.65,6,8.76,35.01,4,9.00,34.78,5,8.87,34.86
0,,PHOTO,3,9.24,43.790,0,,PHOTO,6,9.16,44.157,4,9.19,43.956,5,9.23,44.072
