ZHOU Yang POSITION,ZHOU Yang LAP TIME,ZHOU Yang ELAPSED TIME,Katerina NOVOTNA POSITION,Katerina NOVOTNA LAP TIME,Katerina NOVOTNA ELAPSED TIME,Ayuko ITO POSITION,Ayuko ITO LAP TIME,Ayuko ITO ELAPSED TIME,Jessica KOOREMAN POSITION,Jessica KOOREMAN LAP TIME,Jessica KOOREMAN ELAPSED TIME
4,13.35,13.35,2,12.95,12.95,1,12.89,12.89,3,13.06,13.06
4,10.24,23.59,2,10.23,23.19,3,10.30,23.20,1,10.11,23.17
3,9.58,33.18,2,9.70,32.89,1,9.64,32.85,4,17.74,40.92
3,9.89,43.08,2,9.97,42.87,1,9.84,42.69,4,18.07,59.00
3,10.13,53.21,2,10.10,52.98,1,10.14,52.84,4,14.77,1:13.77
3,10.17,1:03.39,2,10.22,1:03.21,1,10.19,1:03.04,4,12.90,1:26.67
3,10.06,1:13.45,2,9.99,1:13.20,1,10.12,1:13.16,4,12.29,1:38.96
1,9.32,1:22.78,3,9.78,1:22.99,2,9.72,1:22.89,4,12.18,1:51.15
1,9.61,1:32.385,2,9.82,1:32.810,3,9.99,1:32.872,4,13.06,2:04.209
