HWANG Dae Heon POSITION,HWANG Dae Heon LAP TIME,HWANG Dae Heon ELAPSED TIME,DOTTI Tommaso POSITION,DOTTI Tommaso LAP TIME,DOTTI Tommaso ELAPSED TIME,WATANABE Keita POSITION,WATANABE Keita LAP TIME,WATANABE Keita ELAPSED TIME,Vincent JEANNE POSITION,Vincent JEANNE LAP TIME,Vincent JEANNE ELAPSED TIME,WU Dajing POSITION,WU Dajing LAP TIME,WU Dajing ELAPSED TIME
2,12.14,12.14,4,12.39,12.39,3,12.28,12.28,5,12.55,12.55,1,12.11,12.11
2,9.37,21.51,4,9.37,21.76,3,9.36,21.64,5,9.34,21.89,1,9.38,21.49
1,9.15,30.66,3,9.10,30.86,4,9.29,30.93,5,9.14,31.03,2,9.30,30.79
1,9.38,40.04,3,9.38,40.24,4,9.42,40.35,5,9.42,40.45,2,9.36,40.15
1,9.47,49.51,3,9.49,49.73,4,9.49,49.84,5,9.50,49.95,2,9.49,49.64
1,9.39,58.90,3,9.37,59.10,4,9.33,59.17,5,9.33,59.28,2,9.34,58.98
2,9.46,1:08.36,4,9.34,1:08.44,3,9.23,1:08.40,5,9.33,1:08.61,1,9.34,1:08.32
2,9.47,1:17.83,5,22.46,1:30.90,3,16.38,1:24.78,4,17.25,1:25.86,1,9.43,1:17.75
0,,PHOTO,5,21.45,1:52.288,3,14.31,1:39.09,4,14.21,1:40.054,0,,PHOTO
