Liesbeth MAU ASAM POSITION,Liesbeth MAU ASAM LAP TIME,Liesbeth MAU ASAM ELAPSED TIME,Jessica HEWITT POSITION,Jessica HEWITT LAP TIME,Jessica HEWITT ELAPSED TIME,Nina EVTEEVA POSITION,Nina EVTEEVA LAP TIME,Nina EVTEEVA ELAPSED TIME,Mika OZAWA POSITION,Mika OZAWA LAP TIME,Mika OZAWA ELAPSED TIME
1,13.31,13.31,4,13.60,13.60,2,13.42,13.42,3,13.48,13.48
4,10.16,23.48,3,9.88,23.48,1,9.95,23.38,2,9.96,23.45
3,9.84,33.32,1,9.81,33.29,4,9.98,33.36,2,9.84,33.30
3,9.49,42.82,1,9.33,42.63,2,9.41,42.78,4,9.61,42.91
2,9.48,52.30,1,9.59,52.22,4,9.68,52.46,3,9.50,52.41
3,10.07,1:02.37,1,9.93,1:02.16,2,9.80,1:02.27,4,9.97,1:02.39
3,9.80,1:12.18,2,9.91,1:12.08,1,9.78,1:12.05,4,9.83,1:12.22
2,9.92,1:22.10,1,10.01,1:22.09,3,10.07,1:22.12,4,10.06,1:22.29
3,10.01,1:32.110,2,9.99,1:32.077,1,9.86,1:31.971,4,9.93,1:32.215
