WOLFGANG Matthias POSITION,WOLFGANG Matthias LAP TIME,WOLFGANG Matthias ELAPSED TIME,LEE Jung Su POSITION,LEE Jung Su LAP TIME,LEE Jung Su ELAPSED TIME,YOSHINAGA Kazuki POSITION,YOSHINAGA Kazuki LAP TIME,YOSHINAGA Kazuki ELAPSED TIME,SCHUBERT Christoph POSITION,SCHUBERT Christoph LAP TIME,SCHUBERT Christoph ELAPSED TIME,REN Ziwei POSITION,REN Ziwei LAP TIME,REN Ziwei ELAPSED TIME,BREEUWSMA Daan POSITION,BREEUWSMA Daan LAP TIME,BREEUWSMA Daan ELAPSED TIME
6,10.03,10.03,2,9.46,9.46,5,9.86,,4,9.84,9.84,3,9.66,9.66,1,9.35,9.35
6,11.54,21.57,1,11.49,20.95,4,11.48,,5,11.57,21.41,3,11.56,21.22,2,11.73,21.08
6,10.51,32.08,2,10.50,31.45,1,10.10,,4,10.36,31.77,5,10.68,31.90,3,10.52,31.60
6,9.81,41.89,1,9.88,41.33,2,10.05,,4,9.91,41.68,5,9.88,41.78,3,9.96,41.56
6,10.29,52.18,1,10.28,51.61,2,10.31,,4,10.24,51.92,5,10.24,52.02,3,10.32,51.88
6,10.15,1:02.33,1,10.18,1:01.79,3,10.20,,4,10.19,1:02.11,5,10.19,1:02.21,2,9.99,1:01.87
6,10.08,1:12.41,2,10.09,1:11.88,1,9.86,,5,10.03,1:12.14,4,9.92,1:12.13,3,10.14,1:12.01
6,9.75,1:22.16,1,9.47,1:21.35,2,9.61,,5,9.64,1:21.78,4,9.55,1:21.68,3,9.55,1:21.56
6,9.99,1:32.15,1,9.42,1:30.77,2,9.39,,5,9.40,1:31.18,3,9.27,1:30.95,4,9.48,1:31.04
6,10.35,1:42.50,1,9.14,1:39.91,2,9.18,,5,9.15,1:40.33,3,9.18,1:40.13,4,9.18,1:40.22
6,10.84,1:53.34,1,9.20,1:49.11,2,9.17,,5,9.16,1:49.49,3,9.13,1:49.26,4,9.15,1:49.37
6,11.42,2:04.76,2,9.01,1:58.12,3,9.12,,5,9.12,1:58.61,1,8.83,1:58.09,4,9.07,1:58.44
6,12.32,2:17.08,2,8.92,2:07.04,3,8.88,,5,9.32,2:07.93,1,8.88,2:06.97,4,9.01,2:07.45
6,11.45,2:28.53,3,9.41,2:16.45,2,8.99,,5,9.85,2:17.78,1,9.12,2:16.09,4,9.21,2:16.66
