Anthony LOBELLO POSITION,Anthony LOBELLO LAP TIME,Anthony LOBELLO ELAPSED TIME,SONG Weilong POSITION,SONG Weilong LAP TIME,SONG Weilong ELAPSED TIME,Paul HERRMANN POSITION,Paul HERRMANN LAP TIME,Paul HERRMANN ELAPSED TIME,LEE Ho-Suk POSITION,LEE Ho-Suk LAP TIME,LEE Ho-Suk ELAPSED TIME
3,13.13,13.13,2,12.94,12.94,1,12.81,12.81,4,13.23,13.23
3,10.48,23.61,2,10.50,23.44,1,10.53,23.34,4,10.50,23.73
3,10.26,33.87,2,10.26,33.70,1,10.25,33.59,4,10.22,33.95
3,9.41,43.28,1,9.38,43.08,2,9.59,43.18,4,9.45,43.40
1,8.96,52.24,4,9.40,52.48,2,9.26,52.44,3,9.07,52.47
2,9.14,1:01.38,4,9.14,1:01.62,3,9.11,1:01.55,1,8.78,1:01.25
2,8.91,1:10.29,3,8.91,1:10.53,4,9.00,1:10.55,1,8.93,1:10.18
2,8.88,1:19.17,3,8.99,1:19.52,4,9.06,1:19.61,1,8.86,1:19.04
2,9.22,1:28.390,3,9.31,1:28.824,4,9.29,1:28.891,1,9.22,1:28.256
