CASSINELLI Andrea POSITION,CASSINELLI Andrea LAP TIME,CASSINELLI Andrea ELAPSED TIME,Inan EREN POSITION,Inan EREN LAP TIME,Inan EREN ELAPSED TIME,Satoshi SAKASHITA POSITION,Satoshi SAKASHITA LAP TIME,Satoshi SAKASHITA ELAPSED TIME,JUNG Hyun Woo (Andy) POSITION,JUNG Hyun Woo (Andy) LAP TIME,JUNG Hyun Woo (Andy) ELAPSED TIME,Victor AN POSITION,Victor AN LAP TIME,Victor AN ELAPSED TIME
1,13.88,13.88,4,14.19,14.19,2,13.98,13.98,3,14.10,14.10,5,14.38,14.38
2,10.83,24.71,3,10.63,24.82,1,10.68,24.66,4,10.76,24.86,5,10.67,25.05
3,10.35,35.06,4,10.32,35.14,1,10.34,35.00,5,10.42,35.28,2,9.98,35.03
3,9.76,44.82,4,9.78,44.92,2,9.73,44.73,5,9.72,45.00,1,9.61,44.64
3,9.72,54.54,5,9.84,54.76,2,9.72,54.45,4,9.67,54.67,1,9.71,54.35
3,8.96,1:03.50,5,9.10,1:03.86,2,8.95,1:03.40,4,9.06,1:03.73,1,8.92,1:03.27
3,8.92,1:12.42,5,9.14,1:13.00,2,8.77,1:12.17,4,8.87,1:12.60,1,8.75,1:12.02
4,9.53,1:21.95,5,9.43,1:22.43,2,9.05,1:21.22,3,9.26,1:21.86,1,8.60,1:20.62
4,9.50,1:31.443,5,9.63,1:32.057,2,9.30,1:30.511,3,9.50,1:31.360,1,9.45,1:30.064
