Thomas Insuk HONG POSITION,Thomas Insuk HONG LAP TIME,Thomas Insuk HONG ELAPSED TIME,Bartosz KONOPKO POSITION,Bartosz KONOPKO LAP TIME,Bartosz KONOPKO ELAPSED TIME,SITNIKOV Pavel POSITION,SITNIKOV Pavel LAP TIME,SITNIKOV Pavel ELAPSED TIME,Jacob JANSSON POSITION,Jacob JANSSON LAP TIME,Jacob JANSSON ELAPSED TIME,SAULITIS Jekabs POSITION,SAULITIS Jekabs LAP TIME,SAULITIS Jekabs ELAPSED TIME
1,6.82,6.82,2,6.87,6.87,3,7.03,7.03,5,7.48,7.48,4,7.18,7.18
2,9.01,15.83,1,8.85,15.72,3,8.90,15.93,5,9.15,16.63,4,9.07,16.25
2,8.50,24.33,1,8.50,24.22,3,8.49,24.42,5,8.58,25.21,4,8.75,25.00
2,8.59,32.92,1,8.61,32.83,3,8.51,32.93,4,8.66,33.87,5,8.89,33.89
3,9.02,41.94,1,8.86,41.69,2,8.88,41.81,4,8.95,42.82,5,9.21,43.10
