Adam FILIPOWICZ POSITION,Adam FILIPOWICZ LAP TIME,Adam FILIPOWICZ ELAPSED TIME,Jack WHELBOURNE POSITION,Jack WHELBOURNE LAP TIME,Jack WHELBOURNE ELAPSED TIME,Maxime CHATAIGNIER POSITION,Maxime CHATAIGNIER LAP TIME,Maxime CHATAIGNIER ELAPSED TIME,Paul HERRMANN POSITION,Paul HERRMANN LAP TIME,Paul HERRMANN ELAPSED TIME
1,6.95,6.95,2,7.05,7.05,3,7.14,7.14,4,7.34,7.34
2,9.37,16.32,1,9.14,16.19,3,9.26,16.40,4,9.19,16.53
2,8.87,25.19,1,8.81,25.00,3,8.83,25.23,4,8.82,25.35
4,20.39,45.58,1,8.91,33.91,2,8.93,34.16,3,8.84,34.19
0,,PEN,1,9.19,43.094,3,9.17,43.330,2,8.95,43.133
