Julia RIEDEL POSITION,Julia RIEDEL LAP TIME,Julia RIEDEL ELAPSED TIME,Olga BELYAKOVA POSITION,Olga BELYAKOVA LAP TIME,Olga BELYAKOVA ELAPSED TIME,Alex STANLEY POSITION,Alex STANLEY LAP TIME,Alex STANLEY ELAPSED TIME,Laurie MARCEAU POSITION,Laurie MARCEAU LAP TIME,Laurie MARCEAU ELAPSED TIME,Bernadett HEIDUM POSITION,Bernadett HEIDUM LAP TIME,Bernadett HEIDUM ELAPSED TIME
3,13.87,13.87,1,13.74,13.74,4,14.11,14.11,2,13.86,13.86,0,,
3,10.86,24.74,1,10.62,24.36,4,10.76,24.87,2,10.85,24.71,0,,
2,10.03,34.78,1,10.27,34.64,4,10.01,34.88,3,10.08,34.80,0,,
3,10.25,45.03,1,10.11,44.75,4,10.29,45.18,2,10.16,44.96,0,,
3,9.92,54.95,1,10.04,54.79,4,9.96,55.14,2,9.92,54.89,0,,
2,10.05,1:05.00,4,10.43,1:05.22,3,10.05,1:05.20,1,10.01,1:04.90,0,,
3,10.10,1:15.11,1,9.74,1:14.96,4,10.24,1:15.44,2,10.07,1:14.97,0,,
3,10.00,1:25.12,1,9.87,1:24.84,4,10.46,1:25.90,2,9.92,1:24.89,0,,
3,10.44,1:35.554,2,10.16,1:34.996,4,10.92,1:36.815,1,9.95,1:34.838,0,,DNS
